ID,Pipeline,PipelineStage,Notes,TranslationNotes,Tags,Text
366,,,,,,40%
367,,,,,,50%
368,,,,,,60%
369,,,,,,70%
370,,,,,,80%
371,,,,,,90%
372,,,,,,100%
373,,,,,,150%
374,,,,,,200%
376,,,,,,250%
377,,,,,,300%
378,,,,,,Reward: Age
379,,,,,,CBA Settings
380,,,,,,Reward Settings
381,,,,,,Onslaught
382,,,,,,Disable Arsenal
383,,,,,,0.75
