"Category","File","GroupType","GroupName","Line"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_raid.scar","SGroup",,"233"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_trade_convoys.scar","SGroup",,"25"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_automated.scar","SGroup",,"246"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_automated.scar","SGroup",,"200"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_automated.scar","SGroup",,"245"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_automated.scar","SGroup",,"156"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_automated.scar","SGroup",,"179"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"303"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"293"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"294"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"295"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"296"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"297"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"291"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"298"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"300"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"301"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"302"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"304"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"311"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"306"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"307"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"308"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"309"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"310"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"312"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"313"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"314"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"316"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"702"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"290"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"305"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"289"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"292"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"287"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"257"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"259"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"260"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"261"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"262"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"263"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"265"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"268"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"288"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"270"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"271"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"266"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"274"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"286"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"272"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"285"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"284"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"282"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"256"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"278"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"277"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"276"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"275"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","SGroup",,"280"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_burnableFields_1_2","331"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_burnableFields_1_3","332"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_burnableFields_1_4","333"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_burnableFields_2_4","334"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_burnableFields_2_5","335"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_burnableFields_3_4","336"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_burnableFields_3_6","337"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_burnableFields_4_5","338"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_burnableFields_4_6","339"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_burnableFields_4_7","340"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_burnableFields_5_7","341"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_burnableFields_6_7","342"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_burnableFields_7_9","343"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_burnableFields_8_9","344"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_location1_camp","322"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_location2_camp","323"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_location3_camp","324"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_location4_camp","325"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_location5_camp","326"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_location6_camp","327"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_location7_camp","328"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_location8_camp","329"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_playerBuildingsDisabled","269"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_tutorial_outpost","318"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_tutorial1_camp","320"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","EGroup","eg_tutorial2_camp","321"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\obj_tutorial.scar","SGroup",,"139"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_data.scar","SGroup",,"734"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_data.scar","SGroup",,"733"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_data.scar","SGroup",,"716"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_data.scar","SGroup",,"700"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_data.scar","SGroup",,"694"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_data.scar","SGroup",,"788"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_data.scar","SGroup",,"568"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_data.scar","SGroup",,"567"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_data.scar","SGroup",,"472"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_data.scar","SGroup",,"471"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_data.scar","SGroup",,"440"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_data.scar","SGroup",,"569"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_data.scar","EGroup","eg_tutorial_relic","693"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_training.scar","SGroup",,"30"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_training.scar","EGroup","eg_siegecamp","98"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_training.scar","EGroup","eg_tutorial_mosque","75"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_training.scar","EGroup","eg_tutorial_relic","29"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre.scar","SGroup",,"104"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus.scar","SGroup",,"166"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus.scar","SGroup",,"165"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus.scar","SGroup",,"163"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus.scar","SGroup",,"161"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus.scar","SGroup",,"160"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus.scar","SGroup",,"339"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus.scar","SGroup",,"158"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus.scar","SGroup",,"157"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus.scar","SGroup",,"151"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus.scar","SGroup",,"154"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus.scar","SGroup",,"153"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus.scar","SGroup",,"150"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus.scar","SGroup",,"149"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus.scar","SGroup",,"148"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus.scar","SGroup",,"147"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus.scar","SGroup",,"146"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus.scar","SGroup",,"155"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","SGroup",,"77"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","SGroup",,"168"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","SGroup",,"166"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","SGroup",,"81"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","SGroup",,"79"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","SGroup",,"78"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","SGroup",,"75"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","SGroup",,"83"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","SGroup",,"72"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","SGroup",,"65"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","SGroup",,"66"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","SGroup",,"74"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","SGroup",,"70"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","SGroup",,"67"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","SGroup",,"71"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","EGroup","eg_bestFarm","161"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","EGroup","eg_CastleLandmark","62"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","EGroup","eg_control_group","169"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","EGroup","eg_landmarkForTutorial","165"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","EGroup","eg_stablesForTutorial","164"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\ang_chp0_intro.scar","EGroup","eg_TC","162"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\obj_attack_enemyinfantry.scar","SGroup",,"289"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\obj_attackenemycavalry.scar","SGroup",,"139"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\training_missionzero.scar","SGroup",,"2420"
"campaign","scenarios\campaign\angevin\ang_chp0_intro\training_missionzero.scar","EGroup","eg_currentSelection","2393"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"188"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"187"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"189"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"186"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"185"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"183"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"182"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"181"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"180"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"173"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"178"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"177"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"176"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"174"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"190"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"172"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"171"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"170"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"169"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"168"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"179"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"191"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"200"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"194"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"221"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"220"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"218"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"217"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"216"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"214"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"213"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"211"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"210"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"209"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"208"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"207"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"205"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"204"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"203"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"167"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"201"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"198"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"197"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"196"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"195"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"192"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"166"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"202"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"163"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"130"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"129"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"128"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"127"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"126"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"124"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"123"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"122"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"121"
"campaign","scenarios\campaign\angevin\ang_chp1_hastings\ang_chp1_hastings.scar","SGroup",,"120"
