"Function","Params","Category","File","Line","Description"
"Debug_GetAutoAgeStatus","","helpers","cba_debug_helpers.scar","46",""
"Debug_GetKillScore","player_idx","helpers","cba_debug_helpers.scar","28",""
"Debug_GetPopCap","player_idx","helpers","cba_debug_helpers.scar","67",""
"Debug_KeepDiagnostic","","helpers","cba_debug_helpers.scar","123",""
"Debug_ListPlayerSlots","","helpers","cba_debug_helpers.scar","753",""
"Debug_PauseAI","","helpers","cba_debug_helpers.scar","530",""
"Debug_PlayerUI_RegressionCheck","player_idx","helpers","cba_debug_helpers.scar","1345",""
"Debug_PopAudit","","helpers","cba_debug_helpers.scar","92",""
"Debug_PrecacheStatus","","helpers","cba_debug_helpers.scar","153",""
"Debug_Reject","reason","helpers","cba_debug_helpers.scar","479",""
"Debug_ResumeAI","","helpers","cba_debug_helpers.scar","537",""
"Debug_Run_PlayerUI_PhaseBSuite","player_idx, kill_grant","helpers","cba_debug_helpers.scar","1316",""
"Debug_RunSmokeTests","","helpers","cba_debug_helpers.scar","312",""
"Debug_SetBaseline","amount","helpers","cba_debug_helpers.scar","13",""
"Debug_SlowMotion","enabled","helpers","cba_debug_helpers.scar","520",""
"Debug_Spawn","bp_name, player_idx, count","helpers","cba_debug_helpers.scar","181",""
"Debug_ToggleOverlays","","helpers","cba_debug_helpers.scar","544",""
"Debug_ValidateAgeGateCoverage","silent","helpers","cba_debug_helpers.scar","652",""
"Debug_VisualValidation_KeepDestroy","player_idx","helpers","cba_debug_helpers.scar","554",""
"Debug_VisualValidation_SiegeSpawn","player_idx","helpers","cba_debug_helpers.scar","600",""
"Debug_WaitForVisual","description, timeout_seconds","helpers","cba_debug_helpers.scar","405",""
"Debug_AutoAge_CheckSpecialUpgradeIds","","inspectors","cba_debug_inspectors.scar","349",""
"Debug_AutoPopHouseGuard","","inspectors","cba_debug_inspectors.scar","1705","Read-only validation that the auto-pop house guard is functioning correctly. Checks: auto-pop state, transfer stats counter, audit log entries, live entity scan. Returns the number of issues found (0 = PASS). Console: Debug_AutoPopHouseGuard()"
"Debug_CheckUpgradeBlueprint","upgrade_name","inspectors","cba_debug_inspectors.scar","326",""
"Debug_GetAutoAgeState","","inspectors","cba_debug_inspectors.scar","308",""
"Debug_GetBuildingLimitState","","inspectors","cba_debug_inspectors.scar","14",""
"Debug_GetKeepOwnershipMap","","inspectors","cba_debug_inspectors.scar","165",""
"Debug_GetOptionParseResults","","inspectors","cba_debug_inspectors.scar","214",""
"Debug_GetPostDefeatState","","inspectors","cba_debug_inspectors.scar","241",""
"Debug_GetReligiousState","","inspectors","cba_debug_inspectors.scar","262",""
"Debug_GetSiegeLimitState","","inspectors","cba_debug_inspectors.scar","57",""
"Debug_GetStarterKeepState","","inspectors","cba_debug_inspectors.scar","488",""
"Debug_GetVillagerState","","inspectors","cba_debug_inspectors.scar","191",""
"Debug_GetWonderState","","inspectors","cba_debug_inspectors.scar","286",""
"Debug_KeepCap_CheckSpecialAgeAbilityResolution","","inspectors","cba_debug_inspectors.scar","381",""
"Debug_LeaverSummary","","inspectors","cba_debug_inspectors.scar","1575",""
"Debug_RamLimitFullTrace","","inspectors","cba_debug_inspectors.scar","767",""
"Debug_RamSiegeTowerLimitState","","inspectors","cba_debug_inspectors.scar","95","Ram/Siege Tower Limit detailed state dump"
"Debug_SiegeLimitCrossValidation","","inspectors","cba_debug_inspectors.scar","1093",""
"Debug_SiegeLimitFullDump","","inspectors","cba_debug_inspectors.scar","564",""
"Debug_TeamBalanceCapState","","inspectors","cba_debug_inspectors.scar","130",""
"Debug_TeamBalancePerLimit","","inspectors","cba_debug_inspectors.scar","1526",""
"Debug_ValidateSiegeClassifications","","inspectors","cba_debug_inspectors.scar","1344","Main validator: resolves all CBA_SIEGE_TABLE blueprints across all civs and runs tag validation (Phase 2) + path simulation (Phase 3) in a single pass."
"Debug_ForceAnnihilation","player_idx","leaver","cba_debug_leaver.scar","2941",""
"Debug_ForceDisconnect","player_idx","leaver","cba_debug_leaver.scar","2857",""
"Debug_FullSystemValidation","player_idx","leaver","cba_debug_leaver.scar","3389","Debug_FullSystemValidation(player_idx) Single console command for complete runtime validation across all subsystems. Runs: snapshot → reverse map → disconnect → deferred wait → post-validate → blueprint audit → transfer stats/timing → resource/pop/limit deltas → UI check → siege cross-val → summary"
"Debug_FullValidation_All","player_idx, mode","leaver","cba_debug_leaver.scar","3467","Usage: Debug_FullValidation_All() Debug_FullValidation_All(2) Debug_FullValidation_All(2, ""verbose"")"
"Debug_GetBestAllyInfo","","leaver","cba_debug_leaver.scar","2993",""
"Debug_GetLeaverBalanceState","","leaver","cba_debug_leaver.scar","2965",""
"Debug_LeaverConversion_Full","disconnect_player_idx, opt_mode","leaver","cba_debug_leaver.scar","921","COMMAND 1: Full Validation (Stages 1-6) Usage: Debug_LeaverConversion_Full()  or  Debug_LeaverConversion_Full(2)"
"Debug_LeaverConversion_Inspect","","leaver","cba_debug_leaver.scar","1263","COMMAND 2: Inspect (read-only, no game state changes) Usage: Debug_LeaverConversion_Inspect()"
"Debug_LeaverConversion_MilResolve","src_idx, dst_idx","leaver","cba_debug_leaver.scar","2126","COMMAND 5: Military Suffix Resolution Test (read-only, no spawning) Prints the suffix swap result for common unit patterns across all civs, annotated with gate outcomes (AGE-OK/BLOCK, CAP-OK/BLOCK) per candidate. Usage: Debug_LeaverConversion_MilResolve(src_idx, dst_idx)"
"Debug_LeaverConversion_Stress","num_disconnects","leaver","cba_debug_leaver.scar","1348","COMMAND 3: Stress Test (multi-disconnect) Usage: Debug_LeaverConversion_Stress(2)  — disconnects 2 players sequentially"
"Debug_LeaverConversion_Visual","src_idx, dst_idx, mode","leaver","cba_debug_leaver.scar","1929",""
"Debug_LeaverConversion_VisualByCiv","src_civ, dst_civ, mode","leaver","cba_debug_leaver.scar","1815","COMMAND: Surrogate Visual Test — spawns entities using arbitrary civ names, converting via _Convert_Building with civ override. Works in ANY match with ≥2 alive players; the first two alive players are auto-selected as surrogates (their actual civs are irrelevant). Usage (console): Debug_LeaverConversion_VisualByCiv(""malian"", ""japanese"", ""b"")"
"Debug_LeaverConversion_VisualCleanup","","leaver","cba_debug_leaver.scar","2051","Visual test cleanup: safely drains all tracked entities/squads using the same deferred batched path as auto-cleanup. Usage (console): Debug_LeaverConversion_VisualCleanup()"
"Debug_LeaverCoverage_AllCivPairs","opt_mode","leaver","cba_debug_leaver.scar","3692",""
"Debug_LeaverCoverage_Civ","src_civ_name","leaver","cba_debug_leaver.scar","3827","Single-civ variant: audit one sender civ against all receivers."
"Debug_LeaverCoverage_Pair","src_civ, rcv_civ","leaver","cba_debug_leaver.scar","3912","COMMAND: Coverage Pair — detailed building-key resolution for one src→rcv civ pair. Works in ANY match (reads AGS_ENTITY_TABLE + _BLUEPRINT_REVERSE_MAP only). Usage (console): Debug_LeaverCoverage_Pair(""malian"", ""japanese"")"
"Debug_LeaverCrossCivMatrix","opt_mode","leaver","cba_debug_leaver.scar","2270","terminal outcome. This is the complete all-player global cross-civ route check in one command. Usage: Debug_LeaverCrossCivMatrix() Debug_LeaverCrossCivMatrix(""verbose"")"
"Debug_LeaverMilCoverage_AllPairs","opt_mode","leaver","cba_debug_leaver.scar","2710","COMMAND: Military Coverage All Pairs — exhaustive civ×civ audit. Reports per-pair summary and global totals. opt_mode=""detail"" prints per-unit lines. Usage (console): Debug_LeaverMilCoverage_AllPairs() Usage (detail):  Debug_LeaverMilCoverage_AllPairs(""detail"")"
"Debug_LeaverMilCoverage_Pair","src_civ, rcv_civ","leaver","cba_debug_leaver.scar","2623","COMMAND: Military Coverage Pair — per-unit suffix-swap + policy audit for one src→rcv pair. Works in ANY match (reads AGS_CIV_PREFIXES + _LEAVER_CIV_UNIQUE_FALLBACK + BP engine). Usage (console): Debug_LeaverMilCoverage_Pair(""malian"", ""japanese"")"
"Debug_LeaverMilProof_OneShot","verbose","leaver","cba_debug_leaver.scar","1201","Single-command deterministic MIL proof runner Usage: Debug_LeaverMilProof_OneShot()"
"Debug_LeaverMilTest","src_idx, dst_idx, verbose","leaver","cba_debug_leaver.scar","985","spawning military units without age constraints and observing route selection. Usage: Debug_LeaverMilTest()                — auto-select civs, default verbosity Debug_LeaverMilTest(src_idx, dst_idx) — manual player indices Debug_LeaverMilTest(src_idx, dst_idx, verbose) — with verbose logging"
"Debug_LeaverPerformance","","leaver","cba_debug_leaver.scar","3486","PERFORMANCE DEBUG: Per-transfer timing report Prints the phase_timings and annihilation cascade count from the last completed transfer. Usage: Debug_LeaverPerformance()"
"Debug_LeaverPerformance_6Player","count","leaver","cba_debug_leaver.scar","3611",""
"Debug_LeaverPipelineStatus","","leaver","cba_debug_leaver.scar","3657","PERFORMANCE DEBUG: Leaver Pipeline Status Prints current pipeline state and rule pause status. Usage: Debug_LeaverPipelineStatus()"
"Debug_LeaverResolve_ForcedBP","","leaver","cba_debug_leaver.scar","4030",""
"Debug_LeaverSpawnerExemptProof","src_idx, dst_idx","leaver","cba_debug_leaver.scar","5100","Usage: Debug_LeaverSpawnerExemptProof()                  -- auto-select alive pair Debug_LeaverSpawnerExemptProof(src_idx, dst_idx)  -- specify by PLAYERS index"
"Debug_LeaverTransferInspector","rcv_civ, src_civ","leaver","cba_debug_leaver.scar","4436",""
"Debug_LeaverTransferInspector_AllPairs","src_civ","leaver","cba_debug_leaver.scar","4807",""
"Debug_LeaverValidation","","leaver","cba_debug_leaver.scar","2865",""
"Debug_LeaverWeaponAudit","","leaver","cba_debug_leaver.scar","4242",""
"Debug_LeaverWeaponAudit_ReceiverClass","filter_civ","leaver","cba_debug_leaver.scar","4550",""
"Debug_PrecacheManifest_Confirmed","","leaver","cba_debug_leaver.scar","4940",""
"Debug_PrecacheManifest_ForcedCoverage","","leaver","cba_debug_leaver.scar","4700",""
"Debug_PrecacheManifest_Gaps","","leaver","cba_debug_leaver.scar","4904",""
"Debug_PrecacheManifest_Report","","leaver","cba_debug_leaver.scar","4964",""
"Debug_PrecacheManifest_Summary","","leaver","cba_debug_leaver.scar","4845",""
"Debug_TransferValidation","src_idx, dst_idx","leaver","cba_debug_leaver.scar","2913",""
"Debug_ConstructionTrace","player_idx","limits_ui","cba_debug_limits_ui.scar","53",""
"Debug_GetLimitsUIState","","limits_ui","cba_debug_limits_ui.scar","21",""
"Debug_LimitsUI_TraceUpdateFlow","enable","limits_ui","cba_debug_limits_ui.scar","187",""
"Debug_LimitsUIStress","","limits_ui","cba_debug_limits_ui.scar","116",""
"Debug_PlayerUI","","playerui","cba_debug_playerui.scar","442",""
"Debug_PlayerUI_Data","","playerui","cba_debug_playerui.scar","477",""
"Debug_PlayerUI_Ranking","","playerui","cba_debug_playerui.scar","657",""
"Debug_PlayerUI_UI","","playerui","cba_debug_playerui.scar","506",""
"Debug_PlayerUI_Anim","","playerui_anim","cba_debug_playerui_anim.scar","1920",""
"Debug_PlayerUI_Anim_ApplyWhenVisible","enabled","playerui_anim","cba_debug_playerui_anim.scar","118",""
"Debug_PlayerUI_Anim_Features","move_enabled, scale_enabled, pulse_enabled, dim_enabled","playerui_anim","cba_debug_playerui_anim.scar","1190",""
"Debug_PlayerUI_Anim_FeatureStatus","","playerui_anim","cba_debug_playerui_anim.scar","77",""
"Debug_PlayerUI_Anim_Monitor","","playerui_anim","cba_debug_playerui_anim.scar","1996",""
"Debug_PlayerUI_Anim_MonitorStop","","playerui_anim","cba_debug_playerui_anim.scar","2015",""
"Debug_PlayerUI_Anim_PresetAll","","playerui_anim","cba_debug_playerui_anim.scar","100",""
"Debug_PlayerUI_Anim_PresetSafe","","playerui_anim","cba_debug_playerui_anim.scar","94",""
"Debug_PlayerUI_Anim_Pulse","player_idx","playerui_anim","cba_debug_playerui_anim.scar","2230",""
"Debug_PlayerUI_Anim_RestoreStage1","","playerui_anim","cba_debug_playerui_anim.scar","157",""
"Debug_PlayerUI_Anim_RestoreStage2","","playerui_anim","cba_debug_playerui_anim.scar","165",""
"Debug_PlayerUI_Anim_RestoreStage3","","playerui_anim","cba_debug_playerui_anim.scar","171",""
"Debug_PlayerUI_Anim_RestoreStage4","","playerui_anim","cba_debug_playerui_anim.scar","177",""
"Debug_PlayerUI_Anim_RestoreStage5","","playerui_anim","cba_debug_playerui_anim.scar","183",""
"Debug_PlayerUI_Anim_RestoreStage6","","playerui_anim","cba_debug_playerui_anim.scar","189",""
"Debug_PlayerUI_Anim_RunStaged","delay","playerui_anim","cba_debug_playerui_anim.scar","1081",""
"Debug_PlayerUI_Anim_SetMinimalHud","enabled","playerui_anim","cba_debug_playerui_anim.scar","149",""
"Debug_PlayerUI_Anim_Snapshot","","playerui_anim","cba_debug_playerui_anim.scar","2269",""
"Debug_PlayerUI_Anim_Stress","rounds","playerui_anim","cba_debug_playerui_anim.scar","2149",""
"Debug_PlayerUI_Anim_TogglePaths","hud_enabled, scores_enabled, objectives_enabled","playerui_anim","cba_debug_playerui_anim.scar","1174",""
"Debug_PlayerUI_Anim_TogglePresetFull","","playerui_anim","cba_debug_playerui_anim.scar","112",""
"Debug_PlayerUI_Anim_TogglePresetHudOnly","","playerui_anim","cba_debug_playerui_anim.scar","106",""
"Debug_PlayerUI_Anim_ToggleProbe","path","playerui_anim","cba_debug_playerui_anim.scar","125",""
"Debug_PlayerUI_Anim_ValidateDataContext","","playerui_anim","cba_debug_playerui_anim.scar","2260",""
"Debug_PlayerUI_Elim_ValidateFull","verbose","playerui_anim","cba_debug_playerui_anim.scar","542",""
"Debug_PlayerUI_RewardPlayback_CaptureFull","threshold, count, timeout","playerui_anim","cba_debug_playerui_anim.scar","2722","Captures both idle and mid-animation states, with transition/fallback logging. Args: threshold (default 50): synthetic inject start threshold if idle count (default 3): synthetic milestones to inject if idle timeout (default 8.0): capture timeout in seconds"
"Debug_PlayerUI_RewardPlayback_Inject","threshold, count","playerui_anim","cba_debug_playerui_anim.scar","2766","Force-inject a synthetic milestone into the playback queue and start it. Use to test completion animation without waiting for kills. threshold: the kill number to show (default 50) count: how many milestones to inject (default 1)"
"Debug_PlayerUI_RewardPlayback_InjectReal","score_delta","playerui_anim","cba_debug_playerui_anim.scar","2812","Inject real milestones by mutating the local player's debug score by +delta, then running the canonical reward crossing path. Example: Debug_PlayerUI_RewardPlayback_InjectReal(75) adds 75 kills, enqueues any crossed thresholds, and updates the progress bar."
"Debug_PlayerUI_RewardPlayback_Reset","","playerui_anim","cba_debug_playerui_anim.scar","2925","Force-reset the playback runner to idle (emergency stop)."
"Debug_PlayerUI_RewardPlayback_SkipPhase","","playerui_anim","cba_debug_playerui_anim.scar","2912","Skip the current completion phase, jumping to the next phase immediately."
"Debug_PlayerUI_RewardPlayback_Snapshot","","playerui_anim","cba_debug_playerui_anim.scar","2365","Print the current state of the reward playback runner."
"Debug_PlayerUI_RewardPlayback_ValidateCycle","threshold, count, timeout","playerui_anim","cba_debug_playerui_anim.scar","2959","Run a full inject-and-capture cycle with queued-icon invariant validation. Wraps rewardCaptureFull and reports PASS/FAIL for the fixed-position invariant: during center/highlight/fadeout, queued icons must stay at offsetX=0, opacity=1.0, scale=1.0."
"Debug_QADiagnostic","","qa_runner","cba_debug_qa_runner.scar","475",""
"Debug_QADiagnostic_Topic","n","qa_runner","cba_debug_qa_runner.scar","453",""
"Debug_QADiagnostic_TransferScenarios","surrender_idx, elimination_idx, disconnect_idx","qa_runner","cba_debug_qa_runner.scar","789",""
"Debug_QADiagnosticStatus","","qa_runner","cba_debug_qa_runner.scar","582",""
"Debug_DependencyGraph","","registry","cba_debug_registry.scar","177","- Print the dependency graph: each module and what it depends on."
"Debug_GetAllModuleManifests","","registry","cba_debug_registry.scar","282","- Return the full module list as an array of manifests (for Debug_ExportManifest serializer). @return table  Array of manifest tables"
"Debug_GetModuleCount","","registry","cba_debug_registry.scar","294","- Return the count of registered modules. @return number"
"Debug_GetTagModuleMap","","registry","cba_debug_registry.scar","288","- Return the tag → module mapping (for debugging dispatch routing). @return table"
"Debug_IsRegistrySealed","","registry","cba_debug_registry.scar","272","- Check if the registry is sealed (all imports complete). @return boolean"
"Debug_ListModules","filter","registry","cba_debug_registry.scar","128","- List all registered modules, optionally filtered by name/tag/description substring. @param filter  string|nil  Case-insensitive substring match"
"Debug_ModuleInfo","name","registry","cba_debug_registry.scar","158","- Print detailed manifest for a single module. @param name  string  Module name"
"Debug_RegisterModule","meta, handlers","registry","cba_debug_registry.scar","61","- Register a debug module and its handlers. Call at the bottom of each debug domain file. @param meta      table  Module manifest (see contract above) @param handlers  table|nil  Map of function_name → function to populate debug.<namespace>"
"Debug_SealModuleRegistry","","registry","cba_debug_registry.scar","259","- Seal the registry and run deferred validation. Called once after all debug imports are complete (from cba_debug.scar entry point)."
"Debug_ValidateModules","","registry","cba_debug_registry.scar","206","- Validate all module manifests: check for missing dependencies, duplicate tags, and orphan tags. Returns (issues_count, issues_list) for programmatic use. @return number, table"
"Debug_CheckRules","domain_filter, ctx","rules","cba_debug_rules.scar","102","- Run all registered rules (or those matching a domain filter), passing optional context. @param domain_filter  string|nil  Case-insensitive substring match on domain @param ctx            table|nil   Context table passed to each rule's check function @return number passed, number total, number hard_fails"
"Debug_GetAllRules","","rules","cba_debug_rules.scar","289","- Return the full rule list as an array (for Debug_ExportManifest serializer). @return table"
"Debug_GetRuleCount","","rules","cba_debug_rules.scar","295","- Return the count of registered rules. @return number"
"Debug_ListRules","domain_filter","rules","cba_debug_rules.scar","204","- List all registered rules, optionally filtered by domain. @param domain_filter  string|nil  Case-insensitive substring match"
"Debug_RegisterRule","rule","rules","cba_debug_rules.scar","59","- Register a named validation rule. @param rule  table  Rule definition (see contract above)"
"Debug_RuleInfo","name","rules","cba_debug_rules.scar","231","- Print detailed info for a single rule. @param name  string  Rule name"
"Debug_RuleReport","","rules","cba_debug_rules.scar","255","- Print a structured report of the last Debug_CheckRules run."
"Debug_Scenario","","scenario","cba_debug_scenario.scar","271",""
"Debug_ScenarioStatus","","scenario","cba_debug_scenario.scar","294",""
"Debug_ScenarioStop","","scenario","cba_debug_scenario.scar","311",""
"Debug_GetAllSettingSchemas","","settings","cba_debug_settings.scar","201","- Return the full schema table (for manifest export / tooling). @return table  Array of schema entries"
"Debug_GetSetting","key","settings","cba_debug_settings.scar","116","- Read a debug setting by key. @param key  string  Setting key (case-sensitive, e.g. ""LEAVER_VERBOSE"") @return any  Current value, or nil if key unknown"
"Debug_GetSettingSchema","key","settings","cba_debug_settings.scar","195","- Get the schema entry for a setting (for programmatic introspection). @param key  string @return table|nil  Schema entry {key, default, type, domain, description}"
"Debug_ListSettings","domain_filter","settings","cba_debug_settings.scar","146","- List all settings, optionally filtered by domain substring. @param domain_filter  string|nil  Case-insensitive substring match on domain field"
"Debug_ResetSettings","","settings","cba_debug_settings.scar","179","- Reset all settings to their schema defaults."
"Debug_SetSetting","key, value","settings","cba_debug_settings.scar","128","- Update a debug setting with type validation. @param key    string  Setting key @param value  any     New value (must match declared type) @return boolean  true if accepted, false if rejected"
"Debug_SiegeTest","","siege_test","cba_debug_siege_test.scar","336",""
"Debug_RunSpawnPlan","plan","spawn_sequences","cba_debug_spawn_sequences.scar","17",""
"Debug_SpawnAndValidate","bp_name, player_idx, count, validate_fn","spawn_sequences","cba_debug_spawn_sequences.scar","152",""
"Debug_SpawnPlan_MixedArmy","player_idx","spawn_sequences","cba_debug_spawn_sequences.scar","185",""
"Debug_SpawnPlan_SiegeStress","","spawn_sequences","cba_debug_spawn_sequences.scar","164",""
"Debug_SiegeLimitStressTest","","stress","cba_debug_stress.scar","608",""
"Debug_StressStage","n","stress","cba_debug_stress.scar","582",""
"Debug_StressTest","","stress","cba_debug_stress.scar","535",""
"Debug_Answer","value","ui_prompts","cba_debug_ui_prompts.scar","429",""
"Debug_AskChoice","question, choices, on_answer, timeout, default_choice, detail","ui_prompts","cba_debug_ui_prompts.scar","350",""
"Debug_AskYesNo","question, on_answer, timeout, default_answer, detail","ui_prompts","cba_debug_ui_prompts.scar","275",""
"Debug_DismissPrompt","","ui_prompts","cba_debug_ui_prompts.scar","466",""
"Debug_InteractiveCheck_KeepState","","ui_prompts","cba_debug_ui_prompts.scar","626",""
"Debug_InteractiveCheck_Precache","","ui_prompts","cba_debug_ui_prompts.scar","511",""
"Debug_InteractiveCheck_SiegeLimitUI","","ui_prompts","cba_debug_ui_prompts.scar","724",""
"Debug_InteractiveChecks","","ui_prompts","cba_debug_ui_prompts.scar","796",""
"Debug_FactionMapDiagnostic","","validation","cba_debug_validation.scar","892",""
"Debug_FullValidation","","validation","cba_debug_validation.scar","806",""
"Debug_LimitEnforcementValidator","","validation","cba_debug_validation.scar","847",""
"Debug_LimitEnforcementValidator","","validation","cba_debug_validation.scar","865",""
"Debug_VerifyDynastiesData","","validation","cba_debug_validation.scar","1266","Debug_VerifyDynastiesData — Single-command verification for Dynasties data additions Validates: upgrade table entries, correction table entries, key parity, arena reward tables Console: Debug_VerifyDynastiesData()"
