"Name","Namespace","ParamRaw","Description"
"AI_GetPersonality","AI","PlayerID pPlayer","Get the personality name of this AI player"
"AI_GetPersonalityLuaFileName","AI","PlayerID pPlayer","Get the personality lua file name of this AI player"
"AI_GetWaterLanesCount","AI","","Returns the amount of water lanes on the map."
"AI_IsAIPlayer","AI","PlayerID pPlayer","Returns true if player is an AI player"
"AI_IsAITargetable","AI","PlayerID pPlayer","Returns true if player is an AIPlayer and is targetable by other AI players."
"AI_IsDebugDisplay","AI","PlayerID pPlayer","Checks if the AI debug display is enabled"
"AI_IsEnabled","AI","PlayerID pPlayer","Returns true if player is a AIPlayer and is enabled"
"AI_IsLocalAIPlayer","AI","PlayerID pPlayer","Returns true if the player is an AIPlayer running on the local machine"
"AI_IsPositionNearInSupplySector","AI","PlayerID aiPlayer, Position position","Returns true when position in a sector that is adjacent to an in-supply sector"
"AI_IsSquadValid","AI","SquadID pSquadAI","Checks if this is a valid AISquad"
"AI_LockEntity","AI","PlayerID pPlayer, EntityID pEntity","Locks the entity and disables its tactics (if any) and the AI will no longer use this object"
"AI_LockSquad","AI","PlayerID pPlayer, SquadID pSquad","Locks the squad and disables its tactics (if any) and the AI will no longer use this object"
"AI_LockSquads","AI","PlayerID pPlayer, SGroupID squads","Locks the squads and disables its tactics (if any) and the AI will no longer use these objects"
"AI_LogCombatTrainingData","AI","Integer conflictID, PlayerID playerA, PlayerID playerB, Real score","Log the combat input features of all squads owned by two players for a given conflict"
"AI_PauseCurrentTasks","AI","PlayerID pPlayer, Boolean pause","Pauses or unpauses currently running tasks"
"AI_PlayerAddExclusionArea","AI","PlayerID pPlayer, Position position, Real noPathRadius, Real noTargetRadius","Add an Exclusion area to the AI Player"
"AI_PlayerRemoveExclusionArea","AI","PlayerID pPlayer, Position position, Real noPathRadius, Real noTargetRadius","Remove the Exclusion area from the AI Player"
"AI_ProductionGroupMaxNum","AI","PlayerID aiPlayer, ProductionGroupID prodGroupID","Returns the count of specified PBG that the AI player is observing."
"AI_ProductionGroupMaxNumProduced","AI","PlayerID aiPlayer, ProductionGroupID prodGroupID","Returns the count of specified PBG that the AI player is observing."
"AI_ProductionGroupPBGIndex","AI","PlayerID aiPlayer, ProductionGroupID prodGroupID, PropertyBagGroup pbg","Returns the index of the provided PBG within its production group."
"AI_PushPrefabAIIntent","AI","UniqueID prefabId, PlayerID player, String aiPrefabIntentBagName","Push an ai intent to an existing AIPrefab. Requires an ai_prefab_intent pbg name"
"AI_RemoveCapturePointHighPriority","AI","PlayerID pPlayer, EntityID pEntity","This clears the importance bonus on this capture point"
"AI_RestartSCAR","AI","PlayerID pPlayer","Restarts the AI"
"AI_RestoreDefaultPersonalitySettings","AI","PlayerID pPlayer","Restores the default personality and difficulty settings of this AI player"
"AI_SetAISquadCombatRangePolicyTaskOverride","AI","SquadID pSquadAI, CombatRangePolicy policy","Set Combat Range Policy for the AISquad, overrides the one set at Encounter/task level"
"AI_SetAITargetable","AI","PlayerID pPlayer, Boolean targetable","Enables or Disables an AI player to be targetable by other AI players."
"AI_SetCapturePointAsHighPriority","AI","PlayerID pPlayer, EntityID pEntity","This sets importance bonus of the given capture point"
"AI_SetDebugDisplay","AI","PlayerID pPlayer, Boolean enable","Enable or disable the AI debug display"
"AI_SetDifficulty","AI","PlayerID pPlayer, Integer difficultyLevel","Set the difficulty level of this AI player"
"AI_SetPBGRepairPriority","AI","PlayerID pPlayer, String pbgShortname, Real priorityValue","This sets the repair priority value for a given squad or building PBG."
"AI_SetPersonality","AI","PlayerID pPlayer, String personalityName","Set the personality name of this AI player"
"AI_SetPrefabActive","AI","UniqueID prefabId, PlayerID player, Boolean active","Set the active status of an existing AIPrefab"
"AI_SetPrefabCanReassign","AI","UniqueID prefabId, PlayerID player, Boolean canReassign","Set the can_reassign state of an existing AIPrefab"
"AI_SetPrefabSelection_SGroup","AI","UniqueID prefabId, PlayerID player, SGroupID squads","Set the squad selection of an existing AIPrefab by SGROUP"
"AI_SetPrefabTarget_EGroup","AI","UniqueID prefabId, PlayerID player, EGroupID entities","Set the target of an existing AIPrefab by EGROUP"
"AI_SetPrefabTarget_Position","AI","UniqueID prefabId, PlayerID player, Position position","Set the target of an existing AIPrefab by Position"
"AI_SetPrefabTarget_SGroup","AI","UniqueID prefabId, PlayerID player, SGroupID squads","Set the target of an existing AIPrefab by SGROUP"
"AI_SetPrefabTarget_Waypoints","AI","UniqueID prefabId, PlayerID player, String waypointName","Set the target of an existing AIPrefab via waypoints"
"AI_SetResourceIncomeDesire","AI","PlayerID player, Integer resourceType, Real desiredIncome","Set an AI Player's desired income of specified resource type at specified value. This will affect the AI resource gathering, building construction and production priority in trying to achieve the specified resource income."
"AI_ToggleDebugAIPlayer","AI","","Set current debug AI player to the next AI player"
"AI_ToggleDebugDisplay","AI","PlayerID pPlayer","Toggles the AI debug display"
"AI_UnlockAll","AI","PlayerID pPlayer","Unlocks all designer locked squads for player"
"AI_UnlockEntity","AI","PlayerID pPlayer, EntityID pEntity","Unlocks this entity so that AI can use it again"
"AI_UnlockSquad","AI","PlayerID pPlayer, SquadID pSquad","Unlocks the given squad so the AI can use it again"
"AI_UnlockSquads","AI","PlayerID pPlayer, SGroupID squads","Locks the squads and disables its tactics (if any) and the AI will no longer use these objects"
"AI_UpdateStatics","AI","PlayerID pPlayer","Re-updates the AI in regards to all the static objects in the world (if SCAR creates new strategic points dynamically this will need to be called)"
"AIAbilityEncounter_AbilityGuidance_SetAbilityPBG","AIAbilityEncounter","AIEncounterID pEncounter, PropertyBagGroup abilityPBG","Set ability for ability encounter"
"AIEncounter_Cancel","AIEncounter","AIEncounterID pEncounter","Ends the encounter and deletes it."
"AIEncounter_CombatGuidance_AddForcedCombatTargetEGroup","AIEncounter","AIEncounterID pEncounter, EGroupID egroup","add the EGroup to the Encounter forced target list. NOTE: supported only by the Attack Encounter"
"AIEncounter_CombatGuidance_AddForcedCombatTargetEntity","AIEncounter","AIEncounterID pEncounter, EntityID pEntity","add the Entity to the Encounter forced target list. NOTE: supported only by the Attack Encounter"
"AIEncounter_CombatGuidance_AddForcedCombatTargetSGroup","AIEncounter","AIEncounterID pEncounter, SGroupID sgroup","add the SGroup to the Encounter forced target list. NOTE: supported only by the Attack Encounter"
"AIEncounter_CombatGuidance_AddForcedCombatTargetSquad","AIEncounter","AIEncounterID pEncounter, SquadID pSquad","add the Squad to the Encounter forced target list. NOTE: supported only by the Attack Encounter"
"AIEncounter_CombatGuidance_ClearForcedCombatTargets","AIEncounter","AIEncounterID pEncounter","Clear the encounter Forced Combat Targets"
"AIEncounter_CombatGuidance_EnableCombatGarrison","AIEncounter","AIEncounterID pEncounter, Boolean enable","Enables/disables squads in combat garrisoning."
"AIEncounter_CombatGuidance_RemoveForcedCombatTargetEGroup","AIEncounter","AIEncounterID pEncounter, EGroupID egroup","remove the EGroup from the Encounter forced target list. NOTE: supported only by the Attack Encounter"
"AIEncounter_CombatGuidance_RemoveForcedCombatTargetEntity","AIEncounter","AIEncounterID pEncounter, EntityID pEntity","remove the Entity from the Encounter forced target list. NOTE: supported only by the Attack Encounter"
"AIEncounter_CombatGuidance_RemoveForcedCombatTargetSGroup","AIEncounter","AIEncounterID pEncounter, SGroupID sgroup","remove the SGroup from the Encounter forced target list. NOTE: supported only by the Attack Encounter"
"AIEncounter_CombatGuidance_RemoveForcedCombatTargetSquad","AIEncounter","AIEncounterID pEncounter, SquadID pSquad","remove the Squad from the Encounter forced target list. NOTE: supported only by the Attack Encounter"
"AIEncounter_CombatGuidance_SetCombatRangePolicy","AIEncounter","AIEncounterID pEncounter, CombatRangePolicy policy","Set Combat Range Policy for the encounter"
"AIEncounter_CombatGuidance_SetSpreadAttackers","AIEncounter","AIEncounterID pEncounter, Boolean value","Set if the Attack Encounter should spread the attackers on multiple targets"
"AIEncounter_DefenseGuidance_EnableIdleGarrison","AIEncounter","AIEncounterID pEncounter, Boolean enable","Enables/disables idle squads garrisoning."
"AIEncounter_EngagementGuidance_AddEncouterSetupLocation","AIEncounter","AIEncounterID pEncounter, Position pos, Position facingDir","Adds a setup location and facing direction for this encounter not specifically assigned to any squad"
"AIEncounter_EngagementGuidance_ClearSetupLocationOverrides","AIEncounter","AIEncounterID pEncounter","clears the encounter setup locations"
"AIEncounter_EngagementGuidance_EnableAggressiveEngagementMove","AIEncounter","AIEncounterID pEncounter, Boolean enable","Enable / disable aggressive move into engagement area"
"AIEncounter_EngagementGuidance_EnableConstruction","AIEncounter","AIEncounterID pEncounter, Boolean enable","Enable construction in Town Life encounters"
"AIEncounter_EngagementGuidance_EnableSetupLocations","AIEncounter","AIEncounterID pEncounter, Boolean enable","Enable setup locations in attack and defend encounters"
"AIEncounter_EngagementGuidance_SetAllowResourceGatheringOutsideLeash","AIEncounter","AIEncounterID pEncounter, Boolean allowOutsideLeash","Sets a TownLife Encounter whether to allow resource gathering from deposits outside of Encounter leash."
"AIEncounter_EngagementGuidance_SetAllowReturnToPreviousStages","AIEncounter","AIEncounterID pEncounter, Boolean enable","Enable encounter to return to previous stages if they fail to meet conditions for current stage."
"AIEncounter_EngagementGuidance_SetCoordinatedSetup","AIEncounter","AIEncounterID pEncounter, Boolean enable","Enable coordinated arrival in attack encounters"
"AIEncounter_EngagementGuidance_SetEnableSniperReactions","AIEncounter","AIEncounterID pEncounter, Boolean enable","Enables/disables sniper reactions"
"AIEncounter_EngagementGuidance_SetEnableSubEngagementAreas","AIEncounter","AIEncounterID pEncounter, Boolean enable","Enables/disables SubEngagementAreas"
"AIEncounter_EngagementGuidance_SetMaxEngagementTime","AIEncounter","AIEncounterID pEncounter, Real seconds","Sets max time, in seconds, to accomplish encounter, once the target is engaged."
"AIEncounter_EngagementGuidance_SetMaxIdleTime","AIEncounter","AIEncounterID pEncounter, Real seconds","Sets max time, in seconds, to remain idle at encounter target, once engaged."
"AIEncounter_EngagementGuidance_SetSetupLocationSbpPriority","AIEncounter","AIEncounterID pEncounter, ScarSquadPBG sbp, Real priority","set the sbp setup location priority override"
"AIEncounter_EngagementGuidance_SetSquadSetupLocation","AIEncounter","AIEncounterID pEncounter, SquadID pSquad, Position pos, Position facingDir","set the squad setup location and facing direction"
"AIEncounter_FallbackGuidance_EnableReinforceDuringCombat","AIEncounter","AIEncounterID pEncounter, Boolean value","Enable/Disable Reinforce during combat"
"AIEncounter_FallbackGuidance_SetEntitiesRemainingThreshold","AIEncounter","AIEncounterID pEncounter, Real value","Set entities remaining threshold of encounter [-1 to N] to fallback at. (negative disables)"
"AIEncounter_FallbackGuidance_SetFallbackCapacityPercentage","AIEncounter","AIEncounterID pEncounter, Real value","Set capacity threshold [-1 to 1] to fallback at. (negative disables)"
"AIEncounter_FallbackGuidance_SetFallbackCombatRating","AIEncounter","AIEncounterID pEncounter, Real value","Set combat rating threshold of area [0.0 to 1.0] to fallback at. (0.0 disables)"
"AIEncounter_FallbackGuidance_SetFallbackSquadHealthPercentage","AIEncounter","AIEncounterID pEncounter, Real fallbackStartValue, Real fallbackEndValue","Set Squad health threshold [-1 to 1] to fallback at. (negative disables)"
"AIEncounter_FallbackGuidance_SetFallbackSquadShieldPercentage","AIEncounter","AIEncounterID pEncounter, Real fallbackStartValue, Real fallbackEndValue","Set Squad Shield threshold [-1 to 1] to fallback at. (negative disables)"
"AIEncounter_FallbackGuidance_SetFallbackVehicleHealthPercentage","AIEncounter","AIEncounterID pEncounter, Real fallbackStartValue, Real fallbackEndValue","Set Vehicle health threshold [-1 to 1] to fallback at. (negative disables)"
"AIEncounter_FallbackGuidance_SetGlobalFallbackPercentage","AIEncounter","AIEncounterID pEncounter, Real value","Set global fallback threshold (negative for individual squad)."
"AIEncounter_FallbackGuidance_SetGlobalFallbackRetreat","AIEncounter","AIEncounterID pEncounter, Boolean value","Set global retreat type (true for retreat; false for fallback)."
"AIEncounter_FallbackGuidance_SetReinforceHealthPercentage","AIEncounter","AIEncounterID pEncounter, Real value","Set the Reinforce Health Percentage [-1 to 1] (negative disables retreat)"
"AIEncounter_FallbackGuidance_SetReinforceMaxDistance","AIEncounter","AIEncounterID pEncounter, Real value","Set the Max Reinforce Distance (negative value: no distance constrain)"
"AIEncounter_FallbackGuidance_SetReinforceMinHealthRatioToReachReinforcePoint","AIEncounter","AIEncounterID pEncounter, Real value","Set the Min Health Ratio Required To Reach Reinforce Point [0.0, 1.0] (negative value: no constrain)"
"AIEncounter_FallbackGuidance_SetRetreatCapacityPercentage","AIEncounter","AIEncounterID pEncounter, Real value","Set combat rating threshold of area [-1 to 1] to fallback at. (negative disables)"
"AIEncounter_FallbackGuidance_SetRetreatCombatRating","AIEncounter","AIEncounterID pEncounter, Real value","Set combat rating threshold of area [0.0 to 1.0] to retreat at. (0.0 disables)"
"AIEncounter_FallbackGuidance_SetRetreatHealthPercentage","AIEncounter","AIEncounterID pEncounter, Real value","Set retreat health threshold of area [-1 to 1] (negative disables)"
"AIEncounter_FallbackGuidance_SetTargetPosition","AIEncounter","AIEncounterID pEncounter, Position pos","Set fallback target."
"AIEncounter_ForceComplete","AIEncounter","AIEncounterID pEncounter","Asks the encounter to terminate in its next update (allows PhaseEncounter to set its exit info)"
"AIEncounter_FormationGuidance_SetFormUpAtBuildingOfType","AIEncounter","AIEncounterID encounter, String unitTypeList","Set formup type for formation encounter to be at building of type from AE tuning list (must set before triggering)"
"AIEncounter_FormationGuidance_SetFormUpAtEntityTarget","AIEncounter","AIEncounterID encounter, EntityID entity","Set formup entity for formation encounter (must set before triggering)"
"AIEncounter_FormationGuidance_SetFormUpAtPositionTarget","AIEncounter","AIEncounterID encounter, Position postion","Set formup position for formation encounter (must set before triggering)"
"AIEncounter_FormationGuidance_SetFormUpAtSquadAverage","AIEncounter","AIEncounterID encounter","Set formup position for formation encounter at the average of current squad positions (must set before triggering)"
"AIEncounter_FormationGuidance_SetFormUpAtTimeOutParams","AIEncounter","AIEncounterID encounter, Real timeoutSeconds, Real requiredSquadsPercent","Set formup position timeout and % squads that must arrive or else it will fail.  Setting zero for timeout means infinite"
"AIEncounter_FormationPhase_GetEndPosition","AIEncounter","AITaskID encounterID","Get the average position of squads of this finished formation phase encounter (may be the same as target if successful).  You should call AIEncounter_FormationPhase_HasValidExitInfo before this to avoid an error"
"AIEncounter_FormationPhase_GetEndReason","AIEncounter","AITaskID encounterID","Get the end position of this finished formation phase move encounter (may be the same as target if successful)"
"AIEncounter_FormationPhase_GetEnemiesAtEnd","AIEncounter","AITaskID encounterID, SGroupID enemySquads, EGroupID enemyBuildings","Get Groups containing the enemies encountered by this formation phase encounter (encounter must have completed) false indicates the exit info was not available for this encounter"
"AIEncounter_FormationPhase_GetExitCombatFitnessResult","AIEncounter","AITaskID encounterID","Get the combat fitness result for a finished phase encounter, will only be valid for exit states CombatFitnessThreshold or WasAttacked.  -1.0f means invalid."
"AIEncounter_FormationPhase_GetSquadsAvailableAtEnd","AIEncounter","AITaskID encounterID, SGroupID squadsAvailable, SGroupID squadsUnavailable","Get SGRoups containing the squads who made it to the destination of a formation phase move encounter and those who didn't (encounter must have completed) false indicates the exit info was not available for this encounter"
"AIEncounter_FormationPhase_HasValidExitInfo","AIEncounter","AITaskID encounterID","Query if there is valid exit info for this encounter (will only return true for phase encounters)"
"AIEncounter_FormationPhaseGuidance_SetCombatCoordinator","AIEncounter","AIEncounterID encounter, PropertyBagGroup coordinatorPBG","Assign a property bag contains data to support sub task coordination for combat encounters"
"AIEncounter_FormationPhaseGuidance_SetCombatExitParams","AIEncounter","AIEncounterID encounter, Real timeoutSeconds, Boolean testTargetDestroyed, Boolean testEnemySquadsCleared, Boolean testEnemyBuildingsCleared, Real enemyScanRange, String excludeBuildingTypeNames","Set params for terminating a formation phase encounter based on combat, fallback params can also be used"
"AIEncounter_FormationPhaseGuidance_SetMoveEnemiesExitParams","AIEncounter","AIEncounterID encounter, Real enemyScanRange, Real combatFitnessThreshold, Real enemyFormationHeading, Real enemyFormationPosition, Real enemyFormationDistance, String excludeBuildingTypeNames","Set params for terminating a formation phase encounter that is moving somewhere and encounters enemies"
"AIEncounter_FormationPhaseGuidance_SetMoveExitParams","AIEncounter","AIEncounterID encounter, Real timeoutSeconds, Real requiredSquadsPercent, Real wasRecentlyAttackedSecs","Set params for terminating a formation phase encounter that is moving somewhere"
"AIEncounter_FormationTaskStateGuidance_MinRange","AIEncounter","AIEncounterID encounter, Integer priority, Integer minSquads, Integer maxSquads, Integer maxTasks, Real repositionIntervalSecs, Boolean useTactics, String unitTypeNames, PropertyBagGroup targetPriorityPBG","Specify data for formation encounter to create a formation min range task state"
"AIEncounter_FormationTaskStateGuidance_MinRangeWithProtect","AIEncounter","AIEncounterID encounter, Integer priority, Integer minSquads, Integer maxSquads, Integer maxTasks, Real repositionIntervalSecs, Boolean useTactics, String unitTypeNames, PropertyBagGroup targetPriorityPBG, Integer protectMinSquads, Integer protectMaxSquads, Real protectProportionSquads, Real protectDistance, Real protectRepositionThreshold, Real protectRepositionIntervalSecs, String protectUnitTypeNames","Specify data for formation encounter to create a formation min range task state with protect task"
"AIEncounter_FormationTaskStateGuidance_Move","AIEncounter","AIEncounterID encounter, Boolean attackMove, Integer priority, Integer minSquads, Integer maxSquads, Integer maxTasks, String unitTypeNames","Specify data for formation encounter to create a formation move task state"
"AIEncounter_FormationTaskStateGuidance_SetupRanged","AIEncounter","AIEncounterID encounter, Integer priority, Integer minSquads, Integer maxSquads, Integer maxTasks, String unitTypeNames, PropertyBagGroup targetPriorityPBG","Specify data for formation encounter to create a formation setup ranged task state"
"AIEncounter_FormationTaskStateGuidance_SetupRangedWithProtect","AIEncounter","AIEncounterID encounter, Integer priority, Integer minSquads, Integer maxSquads, Integer maxTasks, String unitTypeNames, PropertyBagGroup targetPriorityPBG, Integer protectMinSquads, Integer protectMaxSquads, Real protectProportionSquads, Real protectDistance, Real protectRepositionThreshold, Real protectRepositionIntervalSecs, String protectUnitTypeNames","Specify data for formation encounter to create a formation setup ranged task state and along with a formation of other units to protect it"
"AIEncounter_FormationTaskStateGuidance_SimpleMelee","AIEncounter","AIEncounterID encounter, Integer priority, Integer minSquads, Integer maxSquads, Integer maxTasks, String unitTypeNames, PropertyBagGroup targetPriorityPBG","Specify data for formation encounter to create a formation simple melee task state"
"AIEncounter_FormationTaskStateGuidance_TransportMove","AIEncounter","AIEncounterID encounter, Integer priority, Integer minSquads, Integer maxSquads, Integer maxTasks, String unitTypeNames, Integer minPassengerSquads, Integer maxPassengerSquadsPerTransport, PropertyBagGroup unloadAbilityPBG, String passengerUnitTypeNames, PropertyBagGroup targetPriorityPBG","Specify data for formation encounter to create a formation transport move task state"
"AIEncounter_GetEncounterFromID","AIEncounter","PlayerID player, AITaskID taskID","Returns the encounter pointer from the ID, always test for nil before using..."
"AIEncounter_IsAIPlayerValid","AIEncounter","AIEncounterID pEncounter","Returns true if enconter has a valid AI player"
"AIEncounter_IsValid","AIEncounter","UniqueID PlayerUniqueID, AITaskID encounterTaskID","Determines if encounter is still valid.  Must be true before calling any other of the AIEncounter_* function.  Return true if valid, false otherwise."
"AIEncounter_LogDebug","AIEncounter","PlayerID pPlayer, Integer encounterID, String debugString","in non RTM builds, if verboseEncounterLogging is enabled, will spew string to AI log file"
"AIEncounter_MoveGuidance_EnableAggressiveMove","AIEncounter","AIEncounterID pEncounter, Boolean enable","Enable / disable aggressive movements on way to engagement targets"
"AIEncounter_MoveGuidance_SetSquadCoherenceRadius","AIEncounter","AIEncounterID pEncounter, Real radius","Set radius (follow distance) for coordinated move phase (<= 0 disables coordinated movement)"
"AIEncounter_Notify_ClearCallbacks","AIEncounter","AIEncounterID pEncounter","Clears all notification callbacks for encounter"
"AIEncounter_Notify_SetEnableSnipedCallbacks","AIEncounter","AIEncounterID pEncounter, Boolean value","enables/disabled the sniped callback"
"AIEncounter_Notify_SetPlayerEventEncounterID","AIEncounter","AIEncounterID pEncounter, Integer id","Sets the ID for the notification event sent out by encounter"
"AIEncounter_Pause","AIEncounter","AIEncounterID pEncounter, Boolean bPause","Pause/Unpause this encounter"
"AIEncounter_ResourceGuidance_CalculateEstimatedSquadProductionTime","AIEncounter","AIEncounterID pEncounter, String pbgShortname, Boolean canAffordNowOnly","Calculates approximately how long it will take for a specified Encounter to produce a specified squad."
"AIEncounter_ResourceGuidance_ClearEntities","AIEncounter","AIEncounterID pEncounter","Removes all resource entities from encounter."
"AIEncounter_ResourceGuidance_ClearSquads","AIEncounter","AIEncounterID pEncounter","Removes all resource squads from encounter."
