"Subsystem","File","FileName","Function","Params","Line","Visibility","FileRole"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetWonderScaleCost","scale_cost","743","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetScoreTimer","score_timer","765","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetTeamVision","team_vision","811","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetMapVision","map_vision","821","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetStartingAge","starting_age","831","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetEndingAge","ending_age","843","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetTechnologyAge","technology_age","857","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetStartingResources","starting_resources","871","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetStartingVillagers","starting_villagers","889","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetStartingKeeps","starting_keeps","939","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetStartingKings","starting_kings","947","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetSimulationSpeed","simulation_speed","955","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetTownCenterRestricts","tc_restrictions","993","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetHandicapType","handicap_type","1003","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetSlotHandicaps","category","1015","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_RetrieveSlotHandicap","slot_handicap","1042","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetReligiousTimer","religious_timer","1076","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetMinimumPopulation","min_population","1118","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetMaximumPopulation","max_population","1156","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetUnitRates","unit_rates","1192","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetGameRates","game_rates","1218","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetGatherRates","gather_rates","1270","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetAutoAge","auto_age","1320","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetPopulationinterval","interval_population","1332","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetMaximumMedicPopulation","max_medicpopulation","1352","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetMaximumProductionBuildings","max_productionbuildings","1376","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_SetMaximumSiegeWorkshop","max_siegeworkshop","1400","public","core"
"root","ags_global_settings.scar","ags_global_settings.scar","AGS_GlobalSettings_CBA_Rewards","reward_list","1418","public","core"
"root","cba_annihilation.scar","cba_annihilation.scar","Annihilation_DiplomacyEnabled","is_enabled","64","public","core"
"root","cba_annihilation.scar","cba_annihilation.scar","Annihilation_TributeEnabled","is_enabled","71","public","core"
"root","cba_annihilation.scar","cba_annihilation.scar","Annihilation_OnInit","","76","public","core"
"root","cba_annihilation.scar","cba_annihilation.scar","Annihilation_Start","","92","public","core"
"root","cba_annihilation.scar","cba_annihilation.scar","Annihilation_OnGameOver","","102","public","core"
"root","cba_annihilation.scar","cba_annihilation.scar","Annihilation_OnConstructionComplete","context","113","public","core"
"root","cba_annihilation.scar","cba_annihilation.scar","Annihilation_OnLandmarkDestroyed","context","130","public","core"
"root","cba_annihilation.scar","cba_annihilation.scar","Annihilation_OnEntityKilled","context","136","public","core"
"root","cba_annihilation.scar","cba_annihilation.scar","Annihilation_CheckAnnihilationCondition","victimOwner","141","public","core"
"root","cba_annihilation.scar","cba_annihilation.scar","Annihilation_OnPlayerDefeated","player, reason","268","public","core"
"root","cba_annihilation.scar","cba_annihilation.scar","Annihilation_CheckVictory","","290","public","core"
"root","cba_annihilation.scar","cba_annihilation.scar","Annihilation_GetActiveEnemyCount","player","343","public","core"
"root","cba_annihilation.scar","cba_annihilation.scar","Annihilation_IsACapital","entity","363","public","core"
"root","cba_annihilation.scar","cba_annihilation.scar","Annihilation_IsALandmark","entity","368","public","core"
"root","cba_annihilation.scar","cba_annihilation.scar","Annihilation_PlayerCanReceiveTribute","player_id","373","public","core"
"root","cba_annihilation.scar","cba_annihilation.scar","PlayerCanSendTribute","player_id","376","local","core"
"root","cba_annihilation.scar","cba_annihilation.scar","Annihilation_WinnerPresentation","playerID","396","public","core"
"root","cba_annihilation.scar","cba_annihilation.scar","Annihilation_LoserPresentation","playerID","414","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_UpdateConditions","_mod","83","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_DiplomacyEnabled","is_enabled","113","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_OnInit","","118","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_Start","","158","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_OnPlayerDefeated","player, reason","178","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_OnGameOver","","197","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_UpdatePlayerStats","player, scarModel","216","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_Update","","225","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_OnHolySiteChange","context","284","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_OnLocalPlayerChanged","context","735","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_SitesOwnedByPlayer","player","746","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_AllSitesControlled","","765","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_SitesOwnedByAllies","player","768","local","core"
"root","cba_religious.scar","cba_religious.scar","Religious_AddObjective","","820","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_UpdateObjectiveState","","875","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_ToggleCountdownObjective","enable, is_friendly","878","local","core"
"root","cba_religious.scar","cba_religious.scar","Religious_UpdateObjectiveCounter","","1106","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_DelayedNewObjective","context, data","1141","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_RemoveObjectives","","1151","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_HolySiteMinimapBlips","","1161","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_FlashAllHolySites","","1187","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_WinnerPresentation","playerID","1231","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_LoserPresentation","playerID","1263","public","core"
"root","cba_religious.scar","cba_religious.scar","Religious_StopMusic","","1294","public","core"
"root","cba.scar","cba.scar","Debug_LeaverConversion_VisualCleanup","","85","public","core"
"root","cba.scar","cba.scar","Onslaught_GetPlayerScore","player","115","public","core"
"root","cba.scar","cba.scar","Onslaught_SyncScoreToEngine","","122","public","core"
"root","cba.scar","cba.scar","Onslaught_Trace","tag, message","156","local","core"
"root","cba.scar","cba.scar","Core_OnGameOver","...","163","public","core"
"root","cba.scar","cba.scar","Onslaught_CrashProbeTick","","169","public","core"
"root","cba.scar","cba.scar","Onslaught_TryQueueGameOver","delay, payload","183","public","core"
"root","cba.scar","cba.scar","_Onslaught_ResolvePlayerId","playerLike","196","local","core"
"root","cba.scar","cba.scar","_Onslaught_ResolvePlayersEntry","playerLike","214","local","core"
"root","cba.scar","cba.scar","_Onslaught_SetEliminationReason","playerLike, reason","228","local","core"
"root","cba.scar","cba.scar","Surrender_OnPlayerDefeated","defeatedPlayer, reason","253","public","core"
"root","cba.scar","cba.scar","Elimination_OnPlayerDefeated","player, reason","263","public","core"
"root","cba.scar","cba.scar","Mod_OnGameSetup","","323","public","core"
"root","cba.scar","cba.scar","Mod_PreInit","","367","public","core"
"root","cba.scar","cba.scar","Mod_OnInit","","375","public","core"
"root","cba.scar","cba.scar","Mod_PostInit","","408","public","core"
"root","cba.scar","cba.scar","Mod_Preset","","414","public","core"
"root","cba.scar","cba.scar","Mod_PreStart","","422","public","core"
"root","cba.scar","cba.scar","Mod_Start","","428","public","core"
"root","cba.scar","cba.scar","Mod_OnGameOver","","560","public","core"
"root","cba.scar","cba.scar","Mod_OnEntityKilled","context","636","public","core"
"root","cba.scar","cba.scar","Mod_RemoveGaia","","683","public","core"
"root","cba.scar","cba.scar","Mod_setStartingResources","","695","public","core"
"root","cba.scar","cba.scar","Mod_SetFOW","","721","public","core"
"root","cba.scar","cba.scar","Mod_SetupObjective","","732","public","core"
"root","cba.scar","cba.scar","Mod_FindKeep","","773","public","core"
"root","cba.scar","cba.scar","Mod_ConfigureKeepAsCapitalAgeProducer","player, keep_ent, ghost_ent, source_tag","816","public","core"
"root","cba.scar","cba.scar","_KeepCap_GetSpecialUpgradeList","player_civ","821","local","core"
"root","cba.scar","cba.scar","_KeepCap_ResolveAgeUpAbility","upg_name","851","local","core"
"root","cba.scar","cba.scar","_KeepCap_InjectAgeUpAbilities","player_obj, player_civ, keep_entity, tag","899","local","core"
"root","cba.scar","cba.scar","Mod_EnsureKeepAsCapital","player, source_tag, opt_force_respawn","969","public","core"
"root","cba.scar","cba.scar","Debug_KeepAsCapitalStatus","opt_player_id","1059","public","core"
"root","cba.scar","cba.scar","Debug_KeepAsCapitalApply","opt_player_id, opt_force_respawn","1092","public","core"
"root","cba.scar","cba.scar","Mod_WinnerPresentation","playerID","1107","public","core"
"root","cba.scar","cba.scar","Mod_LoserPresentation","playerID","1139","public","core"
"root","cba.scar","cba.scar","CBA_Options_SiegeLimit_Disable","player_id, siege_limit, lock_type","1177","public","core"
"root","cba.scar","cba.scar","CBA_Options_SiegeLimit_Cancel_filter","siege_limit, player","1364","public","core"
"root","cba.scar","cba.scar","CBA_Options_SiegeLimit_BuildItemComplete","context","1409","public","core"
"root","cba.scar","cba.scar","CBA_Options_SiegeLimit_SquadKilled","context","1529","public","core"
"root","cba.scar","cba.scar","_Leaver_WarmupPrecache","","1627","private","core"
"root","cba.scar","cba.scar","_Leaver_IsAlwaysPrecacheBP","bp_name","1745","private","core"
"root","cba.scar","cba.scar","_Leaver_PrecacheSelectedBuildings","active_player_ids","1752","private","core"
"root","cba.scar","cba.scar","_Leaver_GetRequiredAgeForBP","bp_name","1793","private","core"
"root","cba.scar","cba.scar","_Leaver_IsPrecacheRequiredForReceiver","bp_name, player_id","1807","private","core"
"root","cba.scar","cba.scar","_Leaver_RuntimeTrackPrecache","bp_name, player_id, context, route_label","1829","private","core"
"root","cba.scar","cba.scar","_Leaver_BuildPrecacheManifest","","1887","private","core"
"root","cba.scar","cba.scar","_Leaver_GetMilitarySuffix","civ","2125","private","core"
"root","cba.scar","cba.scar","_Leaver_IsSpawnerExemptBP","bp_name","2157","private","core"
"root","cba.scar","cba.scar","_Leaver_MeetsAgeRequirement","bp_name, ags_key, player_id, context","2172","private","core"
"root","cba.scar","cba.scar","_Leaver_ResolveUpgradeBP","player_id, upgrade_key","2259","private","core"
"root","cba.scar","cba.scar","_Leaver_PlayerHasUpgradeCached","player_id, upgrade_key","2281","private","core"
"root","cba.scar","cba.scar","_Leaver_MeetsCapabilityRequirement","bp_name, ags_key, player_id, context","2302","private","core"
"root","cba.scar","cba.scar","_Leaver_GetUnitRole","sbp_name","2496","private","core"
"root","cba.scar","cba.scar","_Leaver_IsCivUniqueFallbackCandidate","sbp_name","2615","private","core"
"root","cba.scar","cba.scar","_Leaver_GetCivUniquePolicy","sbp_name","2627","private","core"
"root","cba.scar","cba.scar","_Leaver_IsNeutralOrTransferOnlySquad","squad, sbp_name","2639","private","core"
"root","cba.scar","cba.scar","_ResolveReceiverClassFallback","sbp_name, rcv_civ","2652","private","core"
"root","cba.scar","cba.scar","_ResolveGenericArchetypeFallback","sbp_name, rcv_civ","2734","private","core"
"root","cba.scar","cba.scar","_Leaver_GetReverseMapKey","bp_name","2766","private","core"
"root","cba.scar","cba.scar","_ResolveFallbackSquadBP","sbp_name, rcv_civ","2788","private","core"
"root","cba.scar","cba.scar","_ResolveMilitarySquadBP","sbp_name, src_civ, rcv_civ","2822","private","core"
"root","cba.scar","cba.scar","_ResolveMilitaryRoute","sbp_name, src_civ, rcv_civ","2860","private","core"
"root","cba.scar","cba.scar","Mod_FindBestAlly","victim_id","2917","public","core"
"root","cba.scar","cba.scar","_Transfer_CanAcceptBuilding","recipient","2945","private","core"
"root","cba.scar","cba.scar","_Transfer_CanAcceptOutpost","recipient","2952","private","core"
"root","cba.scar","cba.scar","_Transfer_CanAcceptWorkshop","recipient","2958","private","core"
"root","cba.scar","cba.scar","_Transfer_ClassifyBuilding","eid, owner_civ","2966","private","core"
"root","cba.scar","cba.scar","_Transfer_FindLegalRecipient","victim_id, bld_class","3013","private","core"
"root","cba.scar","cba.scar","_Transfer_FindSameFactionAlly","victim_id, source_faction","3033","private","core"
"root","cba.scar","cba.scar","_Transfer_BuildingToPlayer","eid, recipient","3048","private","core"
"root","cba.scar","cba.scar","_Transfer_Resources","victim_id, recipient","3071","private","core"
"root","cba.scar","cba.scar","_Transfer_EjectGarrisons","victim_id","3084","private","core"
"root","cba.scar","cba.scar","_Convert_Building","eid, recipient, receiver_civ, source_civ, stats, source_player_id","3101","private","core"
"root","cba.scar","cba.scar","_Leaver_CountVillagers","player","3472","private","core"
"root","cba.scar","cba.scar","_Convert_EcoSquad","squad, recipient, receiver_civ","3481","private","core"
"root","cba.scar","cba.scar","Mod_EliminatePlayerUnits","player, recipient_override, is_silent","3536","public","core"
"root","cba.scar","cba.scar","_Leaver_ContinueTransfer","","3721","private","core"
"root","cba.scar","cba.scar","_Leaver_PauseIntervalRules","","4256","private","core"
"root","cba.scar","cba.scar","_Leaver_ResumeIntervalRules","","4265","private","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_UpdateModuleSettings","","34","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_PresetFinalize","","41","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_OnPlay","","46","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_TreatyStarted","","55","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_TreatyEnded","","60","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_OnPlayerDefeated","player, reason","65","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_OnObjectiveToggle","toggle","77","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_OnGameOver","","84","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_OnDamageReceived","context","97","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_OnEntityKilled","context","104","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_OnLandmarkDestroyed","context","110","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_OnConstructionComplete","context","116","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_CreateObjective","","133","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_RemoveObjective","","138","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_Eliminate","player","142","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_CheckAnnihilation","player_id","153","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_AreOnlyValidSquads","player, squad_count","173","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_DefineCheapestSquads","","199","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_IsAbleToProduce","player","213","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","AGS_Annihilation_PlayerCanReceiveTribute","player_id","287","public","core"
"conditions","conditions/ags_annihilation.scar","ags_annihilation.scar","PlayerCanSendTribute","player_id","289","local","core"
"conditions","conditions/ags_elimination.scar","ags_elimination.scar","AGS_Elimination_UpdateModuleSettings","","23","public","core"
"conditions","conditions/ags_elimination.scar","ags_elimination.scar","AGS_Elimination_OnPlayerAITakeover","context","30","public","core"
"conditions","conditions/ags_elimination.scar","ags_elimination.scar","AGS_Elimination_OnPlayerDefeated","player, reason","60","public","core"
"conditions","conditions/ags_surrender.scar","ags_surrender.scar","AGS_Surrender_UpdateModuleSettings","","23","public","core"
"conditions","conditions/ags_surrender.scar","ags_surrender.scar","AGS_Surrender_OnPlay","","30","public","core"
"conditions","conditions/ags_surrender.scar","ags_surrender.scar","AGS_Surrender_OnSurrenderMatchRequested","","47","public","core"
"conditions","conditions/ags_surrender.scar","ags_surrender.scar","AGS_Surrender_OnPlayerDefeated","player, reason","53","public","core"
"conditions","conditions/ags_surrender.scar","ags_surrender.scar","AGS_Surrender_Notify","player_id","84","public","core"
"conditions","conditions/ags_surrender.scar","ags_surrender.scar","AGS_Surrender_CheckAI","","94","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_UpdateModuleSettings","","35","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_OnPlay","","46","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_TreatyStarted","","59","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_TreatyEnded","","66","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_OnPlayerDefeated","player, reason","72","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_OnRelationshipChanged","observer_id, target_id","82","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_OnObjectiveToggle","toggle","109","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_OnGameOver","","116","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_OnDamageReceived","context","132","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_OnConstructionStart","context","168","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_OnConstructionComplete","context","172","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_Construction","context, construction_callback","176","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_ConstructionStarted","player, entity_id","201","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_ConstructionCompleted","player, entity_id","209","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_OnEntityKilled","context","215","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_OnTimerTick","","251","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_InitializeWonders","","270","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_EnableConstruction","is_enabled","284","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_DeactivateTimers","","290","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_RemoveAllObjectives","","298","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_CreateTimerObjective","owner","303","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_UpdateTimerObjectives","","325","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_UpdateWonderTimer","player","334","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_RemoveTimerObjectives","","341","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_CreateBuildObjective","","349","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_RemoveBuildObjective","","354","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_FailTimerObjective","owner","358","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_WarnEveryone","owner, objective, relation, objective_template","367","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_StartCountdown","owner","376","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_CreateTimerNotifications","player","390","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_ResetTimerObjective","player","398","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_CleanWonder","player","412","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_VictoryTriggered","winner","434","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_TryDeclareWinners","","457","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_InformNegativeProgressChange","owner","467","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_Destroyed","owner","488","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_TimerUpdate","","503","public","core"
"conditions","conditions/ags_wonder.scar","ags_wonder.scar","AGS_Wonder_TimerProgressNotification","player","516","public","core"
"root","day night cycle.scar","day night cycle.scar","Mission_SetupPlayers","","10","public","core"
"root","day night cycle.scar","day night cycle.scar","Mission_SetupVariables","","28","public","core"
"root","day night cycle.scar","day night cycle.scar","Mission_SetRestrictions","","38","public","core"
"root","day night cycle.scar","day night cycle.scar","Mission_Preset","","46","public","core"
"root","day night cycle.scar","day night cycle.scar","Mission_Start","","53","public","core"
"root","day night cycle.scar","day night cycle.scar","GetRecipe","","62","public","core"
"root","day night cycle.scar","day night cycle.scar","statechange","","108","public","core"
"root","day night cycle.scar","day night cycle.scar","toDay","","117","public","core"
"root","day night cycle.scar","day night cycle.scar","toDusk","","120","public","core"
"root","day night cycle.scar","day night cycle.scar","toDusk2","","123","public","core"
"root","day night cycle.scar","day night cycle.scar","toNight","","126","public","core"
"root","day night cycle.scar","day night cycle.scar","toNight2","","129","public","core"
"root","day night cycle.scar","day night cycle.scar","toDawn","","132","public","core"
"debug","debug/cba_debug_advanced_stress.scar","cba_debug_advanced_stress.scar","Debug_AdvStress_SiegeCascade","","21","public","debug"
"debug","debug/cba_debug_advanced_stress.scar","cba_debug_advanced_stress.scar","validate_fn","p, c, bp","43","public","debug"
"debug","debug/cba_debug_advanced_stress.scar","cba_debug_advanced_stress.scar","validate_fn","p, c, bp","48","public","debug"
"debug","debug/cba_debug_advanced_stress.scar","cba_debug_advanced_stress.scar","validate_fn","p, c, bp","53","public","debug"
"debug","debug/cba_debug_advanced_stress.scar","cba_debug_advanced_stress.scar","validate_fn","p, c, bp","58","public","debug"
"debug","debug/cba_debug_advanced_stress.scar","cba_debug_advanced_stress.scar","_AdvStress_Hook_SiegeState","","67","private","debug"
"debug","debug/cba_debug_advanced_stress.scar","cba_debug_advanced_stress.scar","_AdvStress_Hook_LimitsUI","","70","private","debug"
"debug","debug/cba_debug_advanced_stress.scar","cba_debug_advanced_stress.scar","Debug_AdvStress_RapidElimination","","84","public","debug"
"debug","debug/cba_debug_advanced_stress.scar","cba_debug_advanced_stress.scar","_AdvStress_Hook_Balance","","110","private","debug"
"debug","debug/cba_debug_advanced_stress.scar","cba_debug_advanced_stress.scar","_AdvStress_Hook_PostDefeat","","113","private","debug"
"debug","debug/cba_debug_advanced_stress.scar","cba_debug_advanced_stress.scar","_RapidElim_DestroyP2","","117","private","debug"
"debug","debug/cba_debug_advanced_stress.scar","cba_debug_advanced_stress.scar","_RapidElim_DestroyP3","","131","private","debug"
"debug","debug/cba_debug_advanced_stress.scar","cba_debug_advanced_stress.scar","_RapidElim_DestroyP4","","145","private","debug"
"debug","debug/cba_debug_advanced_stress.scar","cba_debug_advanced_stress.scar","_RapidElim_FinalReport","","154","private","debug"
"debug","debug/cba_debug_advanced_stress.scar","cba_debug_advanced_stress.scar","Debug_AdvStress_BuildingLimitOscillation","","177","public","debug"
"debug","debug/cba_debug_advanced_stress.scar","cba_debug_advanced_stress.scar","Debug_AdvStress_MaxPopPressure","","248","public","debug"
"debug","debug/cba_debug_advanced_stress.scar","cba_debug_advanced_stress.scar","Debug_AdvStress_BlueprintStorm","","324","public","debug"
"debug","debug/cba_debug_advanced_stress.scar","cba_debug_advanced_stress.scar","Debug_AdvStress_ConcurrentThrash","","410","public","debug"
