"Category","File","Import","Line"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre.scar","abb_m1_tyre.events","3"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre.scar","abb_m1_tyre_data.scar","4"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre.scar","abb_m1_tyre_camps.scar","5"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre.scar","abb_m1_tyre_objectives.scar","6"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre.scar","abb_m1_tyre_ambush.scar","7"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre.scar","abb_m1_tyre_automated.scar","8"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre.scar","abb_m1_tyre_training.scar","9"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_armycontrol.scar","missionomatic/missionomatic.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_automated.scar","GameScarUtil.scar","9"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_automated.scar","Prefabs.scar","10"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_automated.scar","standard.scar","11"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_automated.scar","scarutil.scar","12"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_automated.scar","team.scar","13"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_automated.scar","core.scar","15"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_automated.scar","MissionOMatic/MissionOMatic.scar","18"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_automated.scar","missionomatic/modules/module_rovingarmy.scar","19"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_automated.scar","test/common.scar","46"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_automated.scar","test/standard_test.scar","47"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_automated.scar","test/test_framework.scar","48"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_automated.scar","test/test_framework_cardinal.scar","49"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_controlpoints.scar","MissionOMatic/MissionOMatic.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_controlpoints.scar","abb_m2_egypt_data.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_data.scar","MissionOMatic/MissionOMatic.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_data.scar","missionomatic/modules/module_rovingarmy.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_objectives.scar","MissionOMatic/MissionOMatic.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt_quadrants.scar","MissionOMatic/MissionOMatic.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt.scar","MissionOMatic/MissionOMatic.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt.scar","abb_m2_egypt_objectives.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt.scar","prefabs/schemas/villagerlife.scar","3"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt.scar","missionomatic/modules/module_rovingarmy.scar","4"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt.scar","abb_m2_egypt_data.scar","5"
"campaign","scenarios\campaign\abbasid\abb_m2_egypt\abb_m2_egypt.scar","abb_m2_egypt_automated.scar","11"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","GameScarUtil.scar","9"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","Prefabs.scar","10"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","standard.scar","11"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","scarutil.scar","12"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","team.scar","13"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","core.scar","15"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","MissionOMatic/MissionOMatic.scar","18"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","missionomatic/modules/module_rovingarmy.scar","19"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","test/common.scar","42"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","test/standard_test.scar","43"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","test/test_framework.scar","44"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_automated.scar","test/test_framework_cardinal.scar","45"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_data.scar","MissionOMatic/MissionOMatic.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_data.scar","cardinal.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_objectives.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_objectives.scar","missionomatic/missionomatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_pirates.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_pirates.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_raid.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_raid.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_trade_convoys.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_trade_convoys.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea_training.scar","training/campaigntraininggoals.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea.scar","abb_m3_redsea.events","3"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea.scar","abb_m3_redsea_automated.scar","4"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea.scar","abb_m3_redsea_data.scar","5"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea.scar","abb_m3_redsea_objectives.scar","6"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea.scar","abb_m3_redsea_raid.scar","7"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea.scar","abb_m3_redsea_pirates.scar","8"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea.scar","abb_m3_redsea_training.scar","9"
"campaign","scenarios\campaign\abbasid\abb_m3_redsea\abb_m3_redsea.scar","abb_m3_redsea_trade_convoys.scar","10"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_automated.scar","GameScarUtil.scar","9"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_automated.scar","Prefabs.scar","10"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_automated.scar","standard.scar","11"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_automated.scar","scarutil.scar","12"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_automated.scar","team.scar","13"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_automated.scar","core.scar","15"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_automated.scar","MissionOMatic/MissionOMatic.scar","18"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_automated.scar","missionomatic/modules/module_rovingarmy.scar","19"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_automated.scar","test/common.scar","42"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_automated.scar","test/standard_test.scar","43"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_automated.scar","test/test_framework.scar","44"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_automated.scar","test/test_framework_cardinal.scar","45"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_data.scar","MissionOMatic/MissionOMatic.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin_data.scar","cardinal.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","MissionOMatic/MissionOMatic.scar","7"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","abb_m4_hattin_automated.scar","8"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","abb_m4_hattin_data.scar","9"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","obj_crusaders.scar","10"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","obj_burningfields.scar","11"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\abb_m4_hattin.scar","obj_tutorial.scar","12"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\obj_burningfields.scar","abb_m4_hattin.scar","5"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\obj_burningfields.scar","abb_m4_hattin_data.scar","6"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\obj_crusaders.scar","abb_m4_hattin.scar","4"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\obj_crusaders.scar","abb_m4_hattin_data.scar","5"
"campaign","scenarios\campaign\abbasid\abb_m4_hattin\obj_tutorial.scar","abb_m4_hattin.scar","5"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_automated.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_automated.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_automated.scar","test/common.scar","16"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_automated.scar","test/standard_test.scar","17"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_automated.scar","test/test_framework.scar","18"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_camp.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_camp.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_data.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_data.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_invasion.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_invasion.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_objectives.scar","MissionOMatic/MissionOMatic.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_objectives.scar","cardinal.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_singles.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_singles.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_training.scar","training.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_training.scar","training/campaigntraininggoals.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_training.scar","cardinal.scar","3"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_training.scar","missionomatic/missionomatic.scar","4"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_transition.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah_transition.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah.scar","missionomatic/missionomatic_leadertent.scar","3"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah.scar","abb_m5_mansurah_data.scar","5"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah.scar","abb_m5_mansurah_objectives.scar","6"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah.scar","abb_m5_mansurah_camp.scar","7"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah.scar","abb_m5_mansurah_invasion.scar","8"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah.scar","abb_m5_mansurah_training.scar","9"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah.scar","abb_m5_mansurah_automated.scar","10"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah.scar","abb_m5_mansurah_camp.scar","11"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah.scar","abb_m5_mansurah_singles.scar","12"
"campaign","scenarios\campaign\abbasid\abb_m5_mansurah\abb_m5_mansurah.scar","abb_m5_mansurah_transition.scar","13"
"campaign","scenarios\campaign\abbasid\abb_m6_aynjalut\abb_m6_aynjalut_automated.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m6_aynjalut\abb_m6_aynjalut_automated.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m6_aynjalut\abb_m6_aynjalut_automated.scar","test/common.scar","15"
"campaign","scenarios\campaign\abbasid\abb_m6_aynjalut\abb_m6_aynjalut_automated.scar","test/standard_test.scar","16"
"campaign","scenarios\campaign\abbasid\abb_m6_aynjalut\abb_m6_aynjalut_automated.scar","test/test_framework.scar","17"
"campaign","scenarios\campaign\abbasid\abb_m6_aynjalut\abb_m6_aynjalut_data.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m6_aynjalut\abb_m6_aynjalut_data.scar","missionomatic/missionomatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m6_aynjalut\abb_m6_aynjalut_forces.scar","MissionOMatic/MissionOMatic.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m6_aynjalut\abb_m6_aynjalut_forces.scar","cardinal.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m6_aynjalut\abb_m6_aynjalut_objectives.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m6_aynjalut\abb_m6_aynjalut.scar","MissionOMatic/MissionOMatic.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m6_aynjalut\abb_m6_aynjalut.scar","cardinal.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m6_aynjalut\abb_m6_aynjalut.scar","missionomatic/missionomatic_upgrades.scar","3"
"campaign","scenarios\campaign\abbasid\abb_m6_aynjalut\abb_m6_aynjalut.scar","abb_m6_aynjalut_data.scar","4"
"campaign","scenarios\campaign\abbasid\abb_m6_aynjalut\abb_m6_aynjalut.scar","abb_m6_aynjalut_objectives.scar","5"
"campaign","scenarios\campaign\abbasid\abb_m6_aynjalut\abb_m6_aynjalut.scar","abb_m6_aynjalut_forces.scar","6"
"campaign","scenarios\campaign\abbasid\abb_m6_aynjalut\abb_m6_aynjalut.scar","abb_m6_aynjalut_automated.scar","7"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_attackcycle.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_attackcycle.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_attackcycle.scar","gameplay/event_cues.scar","3"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_automated.scar","GameScarUtil.scar","9"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_automated.scar","Prefabs.scar","10"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_automated.scar","standard.scar","11"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_automated.scar","scarutil.scar","12"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_automated.scar","team.scar","13"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_automated.scar","core.scar","15"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_automated.scar","MissionOMatic/MissionOMatic.scar","18"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_automated.scar","missionomatic/modules/module_rovingarmy.scar","19"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_automated.scar","test/common.scar","43"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_automated.scar","test/standard_test.scar","44"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_automated.scar","test/test_framework.scar","45"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_automated.scar","test/test_framework_cardinal.scar","46"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_data.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_data.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_objectives.scar","MissionOMatic/MissionOMatic.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre_training.scar","training/campaigntraininggoals.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre.scar","MissionOMatic/missionomatic_upgrades.scar","3"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre.scar","abb_m7_acre_data.scar","4"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre.scar","abb_m7_acre_attackcycle.scar","5"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre.scar","abb_m7_acre_objectives.scar","6"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre.scar","abb_m7_acre.events","7"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre.scar","abb_m7_acre_automated.scar","8"
"campaign","scenarios\campaign\abbasid\abb_m7_acre\abb_m7_acre.scar","abb_m7_acre_training.scar","9"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus_automated.scar","cardinal.scar","8"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus_automated.scar","MissionOMatic/MissionOMatic.scar","9"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus_automated.scar","test/common.scar","21"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus_automated.scar","test/standard_test.scar","22"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus_automated.scar","test/test_framework.scar","23"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus_data.scar","MissionOMatic/MissionOMatic.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus_data.scar","missionomatic/modules/module_rovingarmy.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus_defenders.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus_defenders.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus_encounters.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus_encounters.scar","MissionOMatic/MissionOMatic.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus_objectives.scar","MissionOMatic/MissionOMatic.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus_objectives.scar","missionomatic/modules/module_rovingarmy.scar","2"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus_objectives.scar","abb_m8_cyprus_prison_logic.scar","3"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus_objectives.scar","abb_m8_cyprus_encounters.scar","4"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus_prison_logic.scar","cardinal.scar","1"
"campaign","scenarios\campaign\abbasid\abb_m8_cyprus\abb_m8_cyprus_prison_logic.scar","MissionOMatic/MissionOMatic.scar","2"
