"Category","File","Variable","Line","Value"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_objectives.scar","hpid_trade","94","hpid_trade = Objective_AddUIElements(OBJ_EstablishTrade, mkr_p4_trade_trigger, true, ""Allies"", false, 5)"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_raid.scar","sg_temp","49","sg_temp = CreateUnits(raiders.player, {type = raiders.unitType, numSquads = 1}, spawnTable.marker, sg_temp)"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_raid.scar","sg_temp","64","sg_temp = CreateUnits(raiders.player, {type = raiders.unitType, numSquads = 1}, raiders.spawnMarker, sg_temp)"
"campaign","scenarios\campaign\abbasid\abb_bonus\abb_bonus_raid.scar","playerUnitcount","101","playerUnitcount = SGroup_CountSpawned(sg_temp)"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_automated.scar","statusTable","4","statusTable = {"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_automated.scar","NotRun","5","NotRun = 0,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_automated.scar","InProgress","6","InProgress = 1,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_automated.scar","Pass","7","Pass = 2,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_automated.scar","Fail","8","Fail = 3"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_automated.scar","b_introStarted","10","b_introStarted = false"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_automated.scar","target_found","118","target_found = true"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","villager_groups","58","villager_groups = {"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","sgroup_name","60","sgroup_name = ""sg_camp1_wood1"","
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","marker","61","marker = mkr_camp1_wood1,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","flee_target","62","flee_target = mkr_camp1_flee1,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","camp","63","camp = camp_1,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","resource","64","resource = RT_Wood,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","outpost","65","outpost = nil,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff","66","dropoff = eg_camp1_wood1,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff_pos","67","dropoff_pos = nil,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff_ebp","68","dropoff_ebp = EBP.CRUSADER_CMP.BUILDING_ECON_WOOD_CRU,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","count","69","count = 5,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","state","70","state = ""gather"","
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","garrison_count","71","garrison_count = 0,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","sgroup_name","74","sgroup_name = ""sg_camp1_wood2"","
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","marker","75","marker = mkr_camp1_wood2,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","flee_target","76","flee_target = mkr_camp1_flee2,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","camp","77","camp = camp_1,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","resource","78","resource = RT_Wood,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","outpost","79","outpost = nil,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff","80","dropoff = eg_camp1_wood2,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff_pos","81","dropoff_pos = nil,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff_ebp","82","dropoff_ebp = EBP.CRUSADER_CMP.BUILDING_ECON_WOOD_CRU,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","count","83","count = 5,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","state","84","state = ""gather"","
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","garrison_count","85","garrison_count = 0,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","sgroup_name","88","sgroup_name = ""sg_camp2_wood1"","
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","marker","89","marker = mkr_camp2_wood1,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","flee_target","90","flee_target = mkr_camp2_flee,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","camp","91","camp = camp_2,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","resource","92","resource = RT_Wood,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","outpost","93","outpost = nil,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff","94","dropoff = eg_camp2_wood1,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff_pos","95","dropoff_pos = nil,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff_ebp","96","dropoff_ebp = EBP.CRUSADER_CMP.BUILDING_ECON_WOOD_CRU,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","count","97","count = 5,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","state","98","state = ""gather"","
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","garrison_count","99","garrison_count = 0,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","sgroup_name","102","sgroup_name = ""sg_camp2_food1"","
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","marker","103","marker = mkr_camp2_food1,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","flee_target","104","flee_target = mkr_camp2_flee,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","camp","105","camp = camp_2,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","resource","106","resource = RT_Food,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","outpost","107","outpost = nil,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff","108","dropoff = eg_camp2_food1,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff_ebp","109","dropoff_ebp = EBP.CRUSADER_CMP.BUILDING_ECON_FOOD_CRU,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff_pos","110","dropoff_pos = nil,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","count","111","count = 5,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","state","112","state = ""gather"","
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","garrison_count","113","garrison_count = 0,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","sgroup_name","116","sgroup_name = ""sg_camp3_food1"","
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","marker","117","marker = mkr_camp3_food1,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","flee_target","118","flee_target = nil,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","camp","119","camp = camp_3,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","resource","120","resource = RT_Food,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","outpost","121","outpost = eg_camp3_outpost,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff","122","dropoff = eg_camp3_food1,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff_ebp","123","dropoff_ebp = EBP.CRUSADER_CMP.BUILDING_ECON_FOOD_CRU,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff_pos","124","dropoff_pos = nil,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","count","125","count = 5,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","state","126","state = ""gather"","
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","garrison_count","127","garrison_count = 0,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","sgroup_name","130","sgroup_name = ""sg_camp3_gold1"","
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","marker","131","marker = mkr_camp3_gold1,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","flee_target","132","flee_target = nil,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","camp","133","camp = camp_3,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","resource","134","resource = RT_Gold,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","outpost","135","outpost = eg_camp3_outpost,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff","136","dropoff = eg_camp3_gold1,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff_ebp","137","dropoff_ebp = EBP.CRUSADER_CMP.BUILDING_ECON_MINING_CAMP_CRU,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff_pos","138","dropoff_pos = nil,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","count","139","count = 5,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","state","140","state = ""gather"","
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","garrison_count","141","garrison_count = 0,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","sgroup_name","144","sgroup_name = ""sg_camp4_wood1"","
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","marker","145","marker = mkr_camp4_wood1,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","flee_target","146","flee_target = nil,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","camp","147","camp = camp_4,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","resource","148","resource = RT_Wood,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","outpost","149","outpost = eg_camp4_outpost,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff","150","dropoff = eg_camp4_wood1,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff_pos","151","dropoff_pos = nil,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff_ebp","152","dropoff_ebp = EBP.CRUSADER_CMP.BUILDING_ECON_WOOD_CRU,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","count","153","count = 4,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","state","154","state = ""gather"","
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","garrison_count","155","garrison_count = 0,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","sgroup_name","158","sgroup_name = ""sg_camp4_wood2"","
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","marker","159","marker = mkr_camp4_wood2,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","flee_target","160","flee_target = nil,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","camp","161","camp = camp_4,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","resource","162","resource = RT_Wood,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","outpost","163","outpost = eg_camp4_outpost,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff","164","dropoff = eg_camp4_wood2,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff_ebp","165","dropoff_ebp = EBP.CRUSADER_CMP.BUILDING_ECON_WOOD_CRU,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff_pos","166","dropoff_pos = nil,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","count","167","count = 3,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","state","168","state = ""gather"","
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","garrison_count","169","garrison_count = 0,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","sgroup_name","172","sgroup_name = ""sg_camp4_wood3"","
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","marker","173","marker = mkr_camp4_wood3,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","flee_target","174","flee_target = nil,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","camp","175","camp = camp_4,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","resource","176","resource = RT_Wood,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","outpost","177","outpost = eg_camp4_outpost,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff","178","dropoff = eg_camp4_wood3,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff_ebp","179","dropoff_ebp = EBP.CRUSADER_CMP.BUILDING_ECON_WOOD_CRU,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","dropoff_pos","180","dropoff_pos = nil,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","count","181","count = 3,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","state","182","state = ""gather"","
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","garrison_count","183","garrison_count = 0,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","VOPlayed_History_HorseArchers","243","VOPlayed_History_HorseArchers = true"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","VOPlayed_Camps_Destroyed","247","VOPlayed_Camps_Destroyed = true"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","resources_gathered","390","resources_gathered = num_gatherers * 5"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","enemy_resource_total","392","enemy_resource_total = enemy_resource_total + resources_gathered"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_camps.scar","enemy_resource_stockpile","393","enemy_resource_stockpile = enemy_resource_stockpile + resources_gathered"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","debug_skipFranksGathering","14","debug_skipFranksGathering = true"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","debug_skipEconPhase","15","debug_skipEconPhase = true"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","debug_skipFranksGathering","18","debug_skipFranksGathering = true"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","debug_skipEconPhase","19","debug_skipEconPhase = true"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","debug_skipArmyCountdown","20","debug_skipArmyCountdown = true"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","OBJ_HorseArchers","24","OBJ_HorseArchers = {"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","Title","25","Title = ""$11257876"", --Your horse archers must survive"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","Type","26","Type = ObjectiveType_Information,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","IsFailed","27","IsFailed = function()"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","OnFail","30","OnFail = function()"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","OBJ_DefendLandmarks","35","OBJ_DefendLandmarks = {"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","Title","36","Title = ""$11257877"", --Your landmarks must survive"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","Type","37","Type = ObjectiveType_Information,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","IsFailed","38","IsFailed = function()"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","landmarks_remaining","44","landmarks_remaining = landmarks_remaining + 1"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","OnFail","50","OnFail = function()"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","OBJ_DefendTyre","55","OBJ_DefendTyre = {"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","Title","56","Title = ""$11252293"", --Tyre's Town Center Must Survive"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","Type","57","Type = ObjectiveType_Information,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","PreStart","58","PreStart = function()"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","IsFailed","62","IsFailed = function()"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","OnFail","65","OnFail = function()"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","OBJ_FranksGathering","71","OBJ_FranksGathering = {"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","Title","72","Title = ""$11252294"", --The Franks Are Gathering Resources for an Attack"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","showTitle","73","showTitle = false,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","showIntel","74","showIntel = false,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","Type","75","Type = ObjectiveType_Information,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","PreStart","76","PreStart = function()"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","OnStart","87","OnStart = function()"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","IsComplete","91","IsComplete = function()"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","enemy_resource_total_prev","94","enemy_resource_total_prev = enemy_resource_total"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","enemy_resource_total","97","enemy_resource_total = t_diff.enemy_resource_target"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","OnComplete","115","OnComplete = function()"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","OBJ_AssaultCountdown","127","OBJ_AssaultCountdown = {"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","Title","128","Title = ""$11252296"", --Frankish Attack is Mustering"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","showTitle","129","showTitle = false,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","Type","130","Type = ObjectiveType_Information,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","Intel_Start","131","Intel_Start = EVENTS.RamConstructionStarted,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","PreStart","132","PreStart = function()"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","OnStart","137","OnStart = function()"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","IsComplete","148","IsComplete = function()"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","VOPlayed_RamTimerWarning","150","VOPlayed_RamTimerWarning = true"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","OnComplete","159","OnComplete = function()"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","TOBJ_EnemyConstructing","165","TOBJ_EnemyConstructing = {"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","Title","166","Title = ""$11253235"", --The Enemy is Constructing 'The Beast'"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","Type","167","Type = ObjectiveType_Tip,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","Parent","168","Parent = OBJ_AssaultCountdown,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","StartAlongsideParent","169","StartAlongsideParent = true,"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","OBJ_ClearCamps","172","OBJ_ClearCamps = {"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","Title","173","Title = ""$11255468"", --Clear the Frankish Camps"
"campaign","scenarios\campaign\abbasid\abb_m1_tyre\abb_m1_tyre_objectives.scar","Type","174","Type = ObjectiveType_Primary,"
