"Mode","Civ","Threshold","Type","Blueprint","Count","Age","Condition","Title","File","Line"
"onslaught","abbasid","100","upgrade_const","AGS_UP_SIEGE_ENGINEERS","","","","$1000893","cba_rewards_onslaught.scar","1590"
"onslaught","abbasid","250","upgrade_const","AGS_UP_A_MELEE_I","","","","$11166275","cba_rewards_onslaught.scar","1595"
"onslaught","abbasid","300","upgradeBP","upgrade_mil_camel_archers_improved_weapon_abb","","","","Loc:""$42764"",""$11183488""","cba_rewards_onslaught.scar","1599"
"onslaught","abbasid","350","upgrade_const","AGS_UP_D_MELEE_I","","","","$11166446","cba_rewards_onslaught.scar","1603"
"onslaught","abbasid","400","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_manatarms_3_abb","50","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","1607"
"onslaught","abbasid","450","upgrade_const","AGS_UP_SIEGE_ROLLER_TRIGGER","","","","$11143393","cba_rewards_onslaught.scar","1612"
"onslaught","abbasid","500","age","","","2","Option_Reward_Age","$11149424","cba_rewards_onslaught.scar","1617"
"onslaught","abbasid","550","upgradeBP","upgrade_camel_speed_boost_abb","","","","Loc:""$42764"",""$11183496""","cba_rewards_onslaught.scar","1622"
"onslaught","abbasid","600","upgrade_const","AGS_UP_D_RANGED_I","","","","$11166508","cba_rewards_onslaught.scar","1626"
"onslaught","abbasid","700","upgrade_const","AGS_UP_D_MELEE_II","","","","$11166450","cba_rewards_onslaught.scar","1630"
"onslaught","abbasid","800","upgrade_const","AGS_UP_A_RANGED_I","","","","$11166532","cba_rewards_onslaught.scar","1634"
"onslaught","abbasid","900","upgrade_const","AGS_UP_A_MELEE_II","","","","$11166393","cba_rewards_onslaught.scar","1638"
"onslaught","abbasid","1000","age","","","3","Option_Reward_Age","$11149425","cba_rewards_onslaught.scar","1643"
"onslaught","abbasid","1100","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_manatarms_3_abb","60","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","1648"
"onslaught","abbasid","1200","upgrade_const","AGS_UP_D_RANGED_II","","","","$11166509","cba_rewards_onslaught.scar","1653"
"onslaught","abbasid","1250","upgradeBP","upgrade_camel_armor_abb","","","","Loc:""$42764"",""$11225223""","cba_rewards_onslaught.scar","1657"
"onslaught","abbasid","1300","upgrade_const","AGS_UP_SPEARMAN_ELITE","","","","$11168127","cba_rewards_onslaught.scar","1661"
"onslaught","abbasid","1350","upgradeBP","upgrade_mil_mameluke_shields_abb","","","","Loc:""$42764"",""$11183520""","cba_rewards_onslaught.scar","1665"
"onslaught","abbasid","1400","upgrade_const","AGS_UP_D_MELEE_III","","","","$11166451","cba_rewards_onslaught.scar","1669"
"onslaught","abbasid","1600","upgrade_const","AGS_UP_A_RANGED_II","","","","$11166539","cba_rewards_onslaught.scar","1673"
"onslaught","abbasid","1700","upgrade_const","AGS_UP_MANATARMS_ELITE","","","","$11168132","cba_rewards_onslaught.scar","1677"
"onslaught","abbasid","1750","upgradeBP","upgrade_mil_camel_support_abb","","","","Loc:""$42764"",""$11183479""","cba_rewards_onslaught.scar","1681"
"onslaught","abbasid","1800","upgrade_const","AGS_UP_A_MELEE_III","","","","$11166402","cba_rewards_onslaught.scar","1685"
"onslaught","abbasid","1900","upgrade_const","AGS_UP_SIEGE_ADJUSTABLE_CROSSBAR","","","","$11144582","cba_rewards_onslaught.scar","1689"
"onslaught","abbasid","2000","age","","","4","Option_Reward_Age","$11149426","cba_rewards_onslaught.scar","1694"
"onslaught","abbasid","2100","upgrade_const","AGS_UP_D_RANGED_III","","","","$11166510","cba_rewards_onslaught.scar","1699"
"onslaught","abbasid","2200","upgrade_const","AGS_UP_A_RANGED_III","","","","$11166540","cba_rewards_onslaught.scar","1703"
"onslaught","abbasid","2300","upgrade_const","AGS_UP_BARDING","","","","$11143344","cba_rewards_onslaught.scar","1707"
"onslaught","abbasid","2400","upgrade_const","AGS_UP_BIOLOGY","","","","$11155932","cba_rewards_onslaught.scar","1711"
"onslaught","abbasid","2500","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_knight_4_abb","40","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","1715"
"onslaught","abbasid","3000","upgrade_const","AGS_UP_GRAPERED_LANCE","","","","$11143350","cba_rewards_onslaught.scar","1720"
"onslaught","abbasid","3100","upgrade_const","AGS_UP_RANGED_INCENDIARY","","","","$11143381","cba_rewards_onslaught.scar","1733"
"onslaught","abbasid","3250","upgrade_const","AGS_UP_MILITARY_ACADEMY","","","","$11143314","cba_rewards_onslaught.scar","1724"
"onslaught","abbasid","3500","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_knight_4_abb","50","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","1728"
"onslaught","abbasid","4000","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_knight_4_abb","60","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","1737"
"onslaught","abbasid","4250","upgrade_const","AGS_UP_ARCHITECTURE","","","","$11155725","cba_rewards_onslaught.scar","1742"
"onslaught","abbasid","4500","upgrade_const","AGS_UP_CHEMISTRY","","","","$11143390","cba_rewards_onslaught.scar","1746"
"onslaught","abbasid","5000","upgrade_const","AGS_UP_SIEGE_WORKS","","","","$11155930","cba_rewards_onslaught.scar","1750"
"onslaught","abbasid","5250","upgrade_const","AGS_UP_SIEGE_SPEED","","","","$11168900","cba_rewards_onslaught.scar","1754"
"onslaught","abbasid","7500","unknown","","","","","$11119564","cba_rewards_onslaught.scar","1758"
"onslaught","abbasid","10000","unknown","","","","","$11144562","cba_rewards_onslaught.scar","1762"
"onslaught","abbasid","50000","unknown","","","","","$1754","cba_rewards_onslaught.scar","1766"
"onslaught","abbasid_ha_01","0","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_manatarms_3_abb_ha_01","40","","","","cba_rewards_onslaught.scar","2130"
"onslaught","abbasid_ha_01","100","upgrade_const","AGS_UP_SIEGE_ENGINEERS","","","","$1000893","cba_rewards_onslaught.scar","2134"
"onslaught","abbasid_ha_01","250","upgrade_const","AGS_UP_A_MELEE_I","","","","$11166275","cba_rewards_onslaught.scar","2139"
"onslaught","abbasid_ha_01","350","upgrade_const","AGS_UP_D_MELEE_I","","","","$11166446","cba_rewards_onslaught.scar","2143"
"onslaught","abbasid_ha_01","400","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_manatarms_3_abb_ha_01","50","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","2147"
"onslaught","abbasid_ha_01","450","upgrade_const","AGS_UP_SIEGE_ROLLER_TRIGGER","","","","$11143393","cba_rewards_onslaught.scar","2152"
"onslaught","abbasid_ha_01","500","age","","","2","Option_Reward_Age","$11149424","cba_rewards_onslaught.scar","2157"
"onslaught","abbasid_ha_01","600","upgrade_const","AGS_UP_D_RANGED_I","","","","$11166508","cba_rewards_onslaught.scar","2163"
"onslaught","abbasid_ha_01","700","upgrade_const","AGS_UP_D_MELEE_II","","","","$11166450","cba_rewards_onslaught.scar","2167"
"onslaught","abbasid_ha_01","800","upgrade_const","AGS_UP_A_RANGED_I","","","","$11166532","cba_rewards_onslaught.scar","2171"
"onslaught","abbasid_ha_01","900","upgrade_const","AGS_UP_A_MELEE_II","","","","$11166393","cba_rewards_onslaught.scar","2175"
"onslaught","abbasid_ha_01","1000","age","","","3","Option_Reward_Age","$11149425","cba_rewards_onslaught.scar","2180"
"onslaught","abbasid_ha_01","1100","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_manatarms_3_abb_ha_01","60","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","2185"
"onslaught","abbasid_ha_01","1200","upgrade_const","AGS_UP_D_RANGED_II","","","","$11166509","cba_rewards_onslaught.scar","2190"
"onslaught","abbasid_ha_01","1300","upgrade_const","AGS_UP_SPEARMAN_ELITE","","","","$11168127","cba_rewards_onslaught.scar","2195"
"onslaught","abbasid_ha_01","1400","upgrade_const","AGS_UP_D_MELEE_III","","","","$11166451","cba_rewards_onslaught.scar","2200"
"onslaught","abbasid_ha_01","1600","upgrade_const","AGS_UP_A_RANGED_II","","","","$11166539","cba_rewards_onslaught.scar","2204"
"onslaught","abbasid_ha_01","1700","upgrade_const","AGS_UP_MANATARMS_ELITE","","","","$11168132","cba_rewards_onslaught.scar","2208"
"onslaught","abbasid_ha_01","1800","upgrade_const","AGS_UP_A_MELEE_III","","","","$11166402","cba_rewards_onslaught.scar","2213"
"onslaught","abbasid_ha_01","1900","upgrade_const","AGS_UP_SIEGE_ADJUSTABLE_CROSSBAR","","","","$11144582","cba_rewards_onslaught.scar","2217"
"onslaught","abbasid_ha_01","2000","age","","","4","Option_Reward_Age","$11149426","cba_rewards_onslaught.scar","2222"
"onslaught","abbasid_ha_01","2100","upgrade_const","AGS_UP_D_RANGED_III","","","","$11166510","cba_rewards_onslaught.scar","2227"
"onslaught","abbasid_ha_01","2200","upgrade_const","AGS_UP_A_RANGED_III","","","","$11166540","cba_rewards_onslaught.scar","2231"
"onslaught","abbasid_ha_01","2300","upgrade_const","AGS_UP_BARDING","","","","$11143344","cba_rewards_onslaught.scar","2235"
"onslaught","abbasid_ha_01","2400","upgrade_const","AGS_UP_BIOLOGY","","","","$11155932","cba_rewards_onslaught.scar","2239"
"onslaught","abbasid_ha_01","2500","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_knight_4_abb_ha_01","40","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","2243"
"onslaught","abbasid_ha_01","3000","upgrade_const","AGS_UP_GRAPERED_LANCE","","","","$11143350","cba_rewards_onslaught.scar","2248"
"onslaught","abbasid_ha_01","3100","upgrade_const","AGS_UP_RANGED_INCENDIARY","","","","$11143381","cba_rewards_onslaught.scar","2261"
"onslaught","abbasid_ha_01","3250","upgrade_const","AGS_UP_MILITARY_ACADEMY","","","","$11143314","cba_rewards_onslaught.scar","2252"
"onslaught","abbasid_ha_01","3500","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_knight_4_abb_ha_01","50","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","2256"
"onslaught","abbasid_ha_01","4000","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_knight_4_abb_ha_01","60","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","2265"
"onslaught","abbasid_ha_01","4250","upgrade_const","AGS_UP_ARCHITECTURE","","","","$11155725","cba_rewards_onslaught.scar","2270"
"onslaught","abbasid_ha_01","4500","upgrade_const","AGS_UP_CHEMISTRY","","","","$11143390","cba_rewards_onslaught.scar","2274"
"onslaught","abbasid_ha_01","5000","upgrade_const","AGS_UP_SIEGE_WORKS","","","","$11155930","cba_rewards_onslaught.scar","2278"
"onslaught","abbasid_ha_01","5250","upgrade_const","AGS_UP_SIEGE_SPEED","","","","$11168900","cba_rewards_onslaught.scar","2282"
"onslaught","abbasid_ha_01","7500","unknown","","","","","$11119564","cba_rewards_onslaught.scar","2286"
"onslaught","abbasid_ha_01","10000","unknown","","","","","$11144562","cba_rewards_onslaught.scar","2290"
"onslaught","abbasid_ha_01","50000","unknown","","","","","$1754","cba_rewards_onslaught.scar","2294"
"onslaught","byzantine","0","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_manatarms_3_byz","40","","","","cba_rewards_onslaught.scar","2968"
"onslaught","byzantine","100","upgrade_const","AGS_UP_SIEGE_ENGINEERS","","","","$1000893","cba_rewards_onslaught.scar","2972"
"onslaught","byzantine","350","upgrade_const","AGS_UP_D_MELEE_I","","","","$11166446","cba_rewards_onslaught.scar","2976"
"onslaught","byzantine","400","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_manatarms_3_byz","50","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","2980"
"onslaught","byzantine","450","upgrade_const","AGS_UP_SIEGE_ROLLER_TRIGGER","","","","$11143393","cba_rewards_onslaught.scar","2985"
"onslaught","byzantine","500","age","","","2","Option_Reward_Age","$11149424","cba_rewards_onslaught.scar","2990"
"onslaught","byzantine","600","upgrade_const","AGS_UP_D_RANGED_I","","","","$11166508","cba_rewards_onslaught.scar","2995"
"onslaught","byzantine","700","upgrade_const","AGS_UP_D_MELEE_II","","","","$11166450","cba_rewards_onslaught.scar","2999"
"onslaught","byzantine","800","upgrade_const","AGS_UP_A_RANGED_I","","","","$11166532","cba_rewards_onslaught.scar","3003"
"onslaught","byzantine","900","upgrade_const","AGS_UP_A_MELEE_II","","","","$11166393","cba_rewards_onslaught.scar","3007"
"onslaught","byzantine","1000","age","","","3","Option_Reward_Age","$11149425","cba_rewards_onslaught.scar","3012"
"onslaught","byzantine","1100","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_manatarms_3_byz","60","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","3017"
"onslaught","byzantine","1200","upgrade_const","AGS_UP_D_RANGED_II","","","","$11166509","cba_rewards_onslaught.scar","3022"
"onslaught","byzantine","1300","upgrade_const","AGS_UP_SPEARMAN_ELITE","","","","$11168127","cba_rewards_onslaught.scar","3026"
"onslaught","byzantine","1400","upgrade_const","AGS_UP_D_MELEE_III","","","","$11166451","cba_rewards_onslaught.scar","3030"
"onslaught","byzantine","1600","upgrade_const","AGS_UP_A_RANGED_II","","","","$11166539","cba_rewards_onslaught.scar","3034"
"onslaught","byzantine","1700","upgrade_const","AGS_UP_MANATARMS_ELITE","","","","$11168132","cba_rewards_onslaught.scar","3038"
"onslaught","byzantine","1800","upgrade_const","AGS_UP_A_MELEE_III","","","","$11166402","cba_rewards_onslaught.scar","3042"
"onslaught","byzantine","1900","upgrade_const","AGS_UP_SIEGE_ADJUSTABLE_CROSSBAR","","","","$11144582","cba_rewards_onslaught.scar","3046"
"onslaught","byzantine","2000","age","","","4","Option_Reward_Age","$11149426","cba_rewards_onslaught.scar","3051"
"onslaught","byzantine","2100","upgrade_const","AGS_UP_D_RANGED_III","","","","$11166510","cba_rewards_onslaught.scar","3056"
"onslaught","byzantine","2200","upgrade_const","AGS_UP_A_RANGED_III","","","","$11166540","cba_rewards_onslaught.scar","3060"
"onslaught","byzantine","2300","upgrade_const","AGS_UP_BARDING","","","","$11143344","cba_rewards_onslaught.scar","3064"
"onslaught","byzantine","2400","upgrade_const","AGS_UP_BIOLOGY","","","","$11155932","cba_rewards_onslaught.scar","3068"
"onslaught","byzantine","2500","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_knight_4_byz","30","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","3072"
"onslaught","byzantine","3000","upgrade_const","AGS_UP_GRAPERED_LANCE","","","","$11143350","cba_rewards_onslaught.scar","3077"
"onslaught","byzantine","3100","upgrade_const","AGS_UP_RANGED_INCENDIARY","","","","$11143381","cba_rewards_onslaught.scar","3090"
"onslaught","byzantine","3250","upgrade_const","AGS_UP_MILITARY_ACADEMY","","","","$11143314","cba_rewards_onslaught.scar","3081"
"onslaught","byzantine","3500","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_knight_4_byz","38","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","3085"
"onslaught","byzantine","4000","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_knight_4_byz","45","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","3094"
"onslaught","byzantine","4250","upgrade_const","AGS_UP_ARCHITECTURE","","","","$11155725","cba_rewards_onslaught.scar","3099"
"onslaught","byzantine","4500","upgrade_const","AGS_UP_CHEMISTRY","","","","$11143390","cba_rewards_onslaught.scar","3103"
"onslaught","byzantine","5000","upgrade_const","AGS_UP_SIEGE_WORKS","","","","$11155930","cba_rewards_onslaught.scar","3107"
"onslaught","byzantine","5250","upgrade_const","AGS_UP_SIEGE_SPEED","","","","$11168900","cba_rewards_onslaught.scar","3111"
"onslaught","byzantine","7500","unknown","","","","","$11119564","cba_rewards_onslaught.scar","3115"
"onslaught","byzantine","10000","unknown","","","","","$11144562","cba_rewards_onslaught.scar","3119"
"onslaught","byzantine","50000","unknown","","","","","$1754","cba_rewards_onslaught.scar","3123"
"onslaught","byzantine_ha_mac","0","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_manatarms_3_byz_ha_mac","40","","","","cba_rewards_onslaught.scar","3788"
"onslaught","byzantine_ha_mac","100","upgrade_const","AGS_UP_SIEGE_ENGINEERS","","","","$1000893","cba_rewards_onslaught.scar","3792"
"onslaught","byzantine_ha_mac","350","upgrade_const","AGS_UP_D_MELEE_I","","","","$11166446","cba_rewards_onslaught.scar","3796"
"onslaught","byzantine_ha_mac","400","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_manatarms_3_byz_ha_mac","50","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","3800"
"onslaught","byzantine_ha_mac","450","upgrade_const","AGS_UP_SIEGE_ROLLER_TRIGGER","","","","$11143393","cba_rewards_onslaught.scar","3805"
"onslaught","byzantine_ha_mac","500","age","","","2","Option_Reward_Age","$11149424","cba_rewards_onslaught.scar","3810"
"onslaught","byzantine_ha_mac","600","upgrade_const","AGS_UP_D_RANGED_I","","","","$11166508","cba_rewards_onslaught.scar","3815"
"onslaught","byzantine_ha_mac","700","upgrade_const","AGS_UP_D_MELEE_II","","","","$11166450","cba_rewards_onslaught.scar","3819"
"onslaught","byzantine_ha_mac","800","upgrade_const","AGS_UP_A_RANGED_I","","","","$11166532","cba_rewards_onslaught.scar","3823"
"onslaught","byzantine_ha_mac","900","upgrade_const","AGS_UP_A_MELEE_II","","","","$11166393","cba_rewards_onslaught.scar","3827"
"onslaught","byzantine_ha_mac","1000","age","","","3","Option_Reward_Age","$11149425","cba_rewards_onslaught.scar","3832"
"onslaught","byzantine_ha_mac","1100","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_manatarms_3_byz_ha_mac","60","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","3837"
"onslaught","byzantine_ha_mac","1200","upgrade_const","AGS_UP_D_RANGED_II","","","","$11166509","cba_rewards_onslaught.scar","3842"
"onslaught","byzantine_ha_mac","1300","upgrade_const","AGS_UP_SPEARMAN_ELITE","","","","$11168127","cba_rewards_onslaught.scar","3846"
"onslaught","byzantine_ha_mac","1400","upgrade_const","AGS_UP_D_MELEE_III","","","","$11166451","cba_rewards_onslaught.scar","3850"
"onslaught","byzantine_ha_mac","1600","upgrade_const","AGS_UP_A_RANGED_II","","","","$11166539","cba_rewards_onslaught.scar","3854"
"onslaught","byzantine_ha_mac","1700","upgrade_const","AGS_UP_MANATARMS_ELITE","","","","$11168132","cba_rewards_onslaught.scar","3858"
"onslaught","byzantine_ha_mac","1800","upgrade_const","AGS_UP_A_MELEE_III","","","","$11166402","cba_rewards_onslaught.scar","3862"
"onslaught","byzantine_ha_mac","1900","upgrade_const","AGS_UP_SIEGE_ADJUSTABLE_CROSSBAR","","","","$11144582","cba_rewards_onslaught.scar","3866"
"onslaught","byzantine_ha_mac","2000","age","","","4","Option_Reward_Age","$11149426","cba_rewards_onslaught.scar","3871"
"onslaught","byzantine_ha_mac","2100","upgrade_const","AGS_UP_D_RANGED_III","","","","$11166510","cba_rewards_onslaught.scar","3876"
"onslaught","byzantine_ha_mac","2200","upgrade_const","AGS_UP_A_RANGED_III","","","","$11166540","cba_rewards_onslaught.scar","3880"
"onslaught","byzantine_ha_mac","2300","upgrade_const","AGS_UP_BARDING","","","","$11143344","cba_rewards_onslaught.scar","3884"
"onslaught","byzantine_ha_mac","2400","upgrade_const","AGS_UP_BIOLOGY","","","","$11155932","cba_rewards_onslaught.scar","3888"
"onslaught","byzantine_ha_mac","2500","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_knight_4_byz_ha_mac","30","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","3892"
"onslaught","byzantine_ha_mac","3000","upgrade_const","AGS_UP_GRAPERED_LANCE","","","","$11143350","cba_rewards_onslaught.scar","3897"
"onslaught","byzantine_ha_mac","3100","upgrade_const","AGS_UP_RANGED_INCENDIARY","","","","$11143381","cba_rewards_onslaught.scar","3910"
"onslaught","byzantine_ha_mac","3250","upgrade_const","AGS_UP_MILITARY_ACADEMY","","","","$11143314","cba_rewards_onslaught.scar","3901"
"onslaught","byzantine_ha_mac","3500","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_knight_4_byz_ha_mac","38","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","3905"
"onslaught","byzantine_ha_mac","4000","upgrade_const+unit_upgrade","BP_GetSquadBlueprint|unit_knight_4_byz_ha_mac","45","","","Loc:""$11004775"", Loc_FormatText(""$11219110"",""$42814""","cba_rewards_onslaught.scar","3914"
"onslaught","byzantine_ha_mac","4250","upgrade_const","AGS_UP_ARCHITECTURE","","","","$11155725","cba_rewards_onslaught.scar","3919"
